WILTON-STONE-LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU094310,Long,-1.867194,Lat,51.078248,Elevation,175,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1511/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,0.71,5.18,6.6,3.13,5.58,2.74,3.45,3.76,6.56,2.01,1.64,3.31,2.63,7.03,0.87,0.6,3.46,2.89,0.89,1.85,2.98,5.79,2.87,3.98,5.35,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,3.47,2.81,5.58,0.88,1.92,3.02,3.23,0.55,1.26,0.68,2.22,2.71,1.44,1.43,1.73,6.09,6.75,0.64,1.8,2.83,1.66,0.16,4.54,3.33,0.26,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,0.93,3.04,4.49,0.16,1.41,2.95,3.6,2.25,0.69,0.36,0.99,1.01,7.03,1.09,1.19,1.46,4.2,3.12,0.51,3.55,1.6,1.06,2.32,2.24,4.34,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,3.74,1.77,1.96,0.01,2.48,1.33,2.27,2.04,0.66,1.55,0.78,2.62,2.42,1.41,1.75,3.31,3.59,2.24,2.55,0.19,0.42,2.06,0.23,0.78,2.9,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,0.55,0.81,2.7,2.32,1.03,0.83,1.78,3.79,2.56,0.21,2.48,4.43,1.84,4.33,1.78,2,3.1,3.36,1.88,2.67,4.75,0.44,1.95,2.3,1.55,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,4.24,2.13,1.95,0.89,2.35,0.65,1.88,0.31,1.05,1.64,3.35,3.2,1.71,2.52,0.7,0.92,0.66,1.59,1.84,3.3,4.16,2.74,1.83,3.98,1.28,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,0.59,4.58,2.3,2.38,7.49,2.74,2.53,1.28,2.13,3.12,1.25,1.42,1.39,1.01,1.12,4.97,0.77,0.98,2.82,2.22,0.83,2.7,5.35,2.21,2.31,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,2.05,0.15,1.17,2.36,2.91,0.23,4.42,3.54,2.02,2.5,1.84,4.06,0.8,3.91,2.04,4.3,5.4,4.65,2.41,2.86,0.33,4.3,3.38,3.82,1.21,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,4.27,4.19,2.87,1.73,1.4,1.48,0.72,2.26,1.84,1.92,2.09,6.77,1.28,2.61,2.83,3.94,3.25,3.72,2.9,2.48,1.17,4.06,3.26,4.21,0.08,5.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,4.97,1.89,5.53,3.19,4.32,4.89,1.09,4.69,3.83,4.82,4.2,1.55,0.61,2.11,7.73,1.07,0.68,4.83,3.86,2.73,3.18,2.42,2.45,3.93,3.13,11.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
