BICKENHALL-FOREST-DROVE,,,,,,,,,,,,,,,,,,,,
Grid ref,ST292180,Long,-3.009408,Lat,50.95706,Elevation,250,ft,,,,,,,,,,,,
Station no,2061/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.45,4.6,7.1,1.21,0.48,4.04,4.24,0.71,2.58,4.17,4.5,2.94,3.83,4.95,
February,,,,,,3.3,1.64,1.62,1.49,7.56,6.27,0.94,1.67,3.41,3.17,0.16,5.65,4.06,0.29,
March,,,,,,1.28,7.44,1.48,1.37,1.96,4.03,3,0.83,5.5,1.76,1.19,2.94,1.54,4.17,
April,,,,,,2.78,2.85,2.38,1.68,2.43,2.94,2.54,3.83,0.19,1.17,2.33,0.09,0.68,3.35,
May,,,,,,5.14,2.92,4.17,2.43,2.21,3.66,3.27,2.29,2.55,3.63,0.4,2.61,2.62,0.96,
June,,,,,,2.44,1.93,1.7,0.51,1.3,0.91,3.3,2.19,3.86,3.35,1.64,3.31,2.91,0.77,
July,,,,,,1.06,1.95,1.21,1.18,4.85,2.88,0.81,2.05,2.39,2.44,2.91,2.8,3.01,,
August,,,,,2.33,4.34,1.26,4.34,1.5,4.89,3.75,4.68,2.21,2.81,0.76,3.3,3.88,2.91,1.46,
September,,,,,3.01,4.98,1.25,2.02,3.9,3.83,3.96,3.58,3.02,3.5,1.88,6.22,3.17,5.67,0.07,
October,,,,,4.02,1.39,0.68,2.86,8,1.6,1.17,5.3,3.91,2.78,2.15,1.95,2,2.58,,
November,,,,,1.35,6.66,2.41,2.4,4.93,7.41,9.98,4.87,2.44,9.99,5.77,0.94,2.11,2.26,7.33,
December,,,,,6.09,4.72,3.09,7.29,1.87,2.64,3.7,3.31,1.01,3.57,6.6,6.57,4.03,5.66,,
Total,,,,,,42.54,32.02,38.57,30.07,41.16,47.29,39.84,26.16,43.13,36.85,32.11,35.53,37.73,,
,,,,,,,,,,,,,,,,,,,,
1945 July 31 Moved from Wendling Norfolk,,,,,,,,,,,,,,,,,,,,
House unknown but NGR matches distance to church and few other houses in road,,,,,,,,,,,,,,,,,,,,
1954 Apr 1 Moved 140ft NNE,,,,,,,,,,,,,,,,,,,,
1955 Apr Inspection Slight leak in rim Site satisfactory Leaks to be repaired and gauge moved to grass New gauge recommended,,,,,,,,,,,,,,,,,,,,
1960 Moved Site terminated,,,,,,,,,,,,,,,,,,,,
