CLYNE-CASTLE,,,,,,,,,,,,,,,,,,,,
Grid ref,SS614905,Long,-4.0023986,Lat,51.596245,Elevation,50,ft,,,,,,,,,,,,
Station no,4036/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,5.43,2.97,5.7,0.91,5.81,5.57,5.77,6.96,5.32,4.15,5.63,7.47,,,,,,,
February,,0.02,4.86,0.62,4.66,2.6,6.79,1.93,2.88,5.31,4.14,0.49,2.69,,,,,,,
March,,2.3,2.83,2.94,1.22,3.69,2.46,0.76,1.48,3.27,2.99,1.78,1.57,,,,,,,
April,,3.41,2.34,3.41,5.68,3.79,3.31,0.14,3.59,3.19,1.19,1.44,1.46,,,,,,,
May,,4.44,2.16,2.22,2.13,0.79,2.45,4.09,1.25,1.58,2.62,6.3,3.81,,,,,,,
June,,2.34,2.39,2.38,4.21,2.8,1.28,2.81,2.67,0.6,0.94,0.54,4.11,,,,,,,
July,,3.91,4,0.6,0.88,7.37,2.95,3.98,9.18,4.1,3.89,3.83,3.37,,,,,,,
August,,1.25,1.82,3.29,2.01,2.39,0.88,4.68,3.6,0.28,5.79,4.5,6.36,,,,,,,
September,,6.45,1.79,4.61,8.5,4.28,3.14,2.38,0.63,2.41,0.53,3.99,5.86,,,,,,,
October,,8.7,8.22,4.18,7.17,2.48,3.35,8.42,2.79,5.89,4.97,4.8,5.07,,,,,,,
November,,3.24,1.46,2.07,7.22,6.18,2.75,7.56,11.07,8.19,2.2,0.98,3.5,,,,,,,
December,,3.88,1.65,10.43,3.53,4.07,3.1,4.41,3.55,4.55,4.19,6.13,2.52,,,,,,,
Total,,45.37,36.49,42.45,48.12,46.25,38.03,46.93,49.65,44.69,37.6,40.41,47.79,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1942 Aug IDR,,,,,,,,,,,,,,,,,,,,
