BARNETBY RAILWAY STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA053098,Long,-0.411,Lat,53.574,Elevation,51,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922
January,,3.00,0.85,1.28,3.17,0.42,1.58,1.35,1.51,1.58,2.61,1.21,0.70,2.92,1.13,1.15,1.41,1.13,2.63,1.78,0.34,0.08,0.18,2.19,2.32,2.48,2.38,3.13,1.25,0.64,1.51,1.99,1.45,0.59,0.90,1.63,2.90,0.97,2.01,0.63,1.87,2.17,0.58,0.71,0.66,1.63,0.36,2.24,1.00,1.17,1.07,1.09,1.65,2.77,3.56,1.70,2.86,0.50,3.20,1.16,2.91,2.37,2.37,2.38
February,,0.84,2.61,0.75,0.20,1.40,1.51,1.73,1.08,1.57,0.94,1.65,2.00,2.44,1.03,1.58,0.67,2.47,1.32,0.94,3.09,1.97,2.75,1.45,4.16,1.43,2.85,0.45,0.36,0.87,1.44,0.80,0.10,1.81,2.83,2.43,0.50,0.70,2.38,1.09,1.36,3.21,1.83,1.14,0.47,2.79,0.97,2.83,1.35,2.05,1.10,1.92,1.17,1.09,0.76,0.66,2.78,2.89,0.90,1.26,3.64,1.66,0.18,2.69
March,1.44,2.26,1.47,2.36,0.83,1.50,1.02,1.21,1.75,1.26,2.12,1.49,0.75,1.57,1.51,1.37,0.97,3.52,0.96,0.75,0.84,1.56,1.91,1.41,0.51,1.72,1.66,1.93,1.10,2.29,3.46,1.61,1.42,0.73,0.40,0.74,2.10,2.41,3.03,1.44,0.85,0.36,1.71,1.25,1.54,1.22,3.42,2.15,0.92,2.70,3.59,0.61,2.26,2.47,2.39,1.88,0.77,4.11,1.61,0.71,3.61,2.48,0.80,1.75
April,2.75,0.88,1.01,1.34,0.92,0.84,0.56,0.85,1.99,1.98,2.28,0.76,3.71,2.07,0.60,0.64,0.58,1.83,1.25,1.05,1.70,2.10,1.25,4.12,1.50,1.27,2.01,1.99,1.38,1.56,2.64,0.49,1.86,0.90,0.19,1.22,1.32,1.03,1.68,2.26,2.42,1.14,1.46,1.30,0.80,0.84,1.95,0.65,1.87,2.80,2.00,2.23,1.22,0.26,1.69,0.55,0.57,1.37,1.90,1.32,1.81,3.65,1.05,1.65
May,0.57,2.35,0.82,1.83,0.58,1.20,2.85,1.19,1.39,0.61,4.65,0.64,1.54,1.64,1.33,2.36,1.26,0.82,0.51,3.11,2.47,1.21,0.72,1.75,1.75,0.46,1.75,5.60,1.67,0.71,3.26,2.18,3.18,3.52,0.96,1.44,0.91,0.61,1.89,2.29,2.72,1.22,0.53,3.02,2.32,1.98,0.51,1.67,3.47,1.55,0.80,2.12,0.35,2.64,1.97,1.88,1.14,2.97,1.60,2.87,0.96,2.96,1.78,0.73
June,1.89,4.34,2.64,2.08,1.89,1.58,0.80,3.11,1.12,0.58,1.20,2.49,3.51,2.37,1.73,1.15,2.58,2.29,1.03,2.95,3.84,1.52,1.37,4.65,3.20,0.49,2.43,0.45,0.00,1.41,0.22,2.25,1.81,3.27,1.36,3.69,2.85,2.31,1.52,0.95,1.12,2.25,2.04,2.36,1.55,1.10,2.19,1.43,2.31,0.75,2.96,2.55,2.80,4.45,0.83,2.51,0.49,2.98,1.43,0.44,0.99,1.45,0.09,1.30
July,0.14,1.51,3.38,1.96,1.36,0.48,2.03,2.95,2.15,0.59,0.47,1.99,4.48,4.19,1.70,1.55,4.19,2.04,1.56,0.26,3.46,4.21,1.65,2.21,3.87,2.36,0.56,1.97,1.17,6.40,1.16,1.83,2.36,1.37,1.89,2.74,5.05,2.86,0.11,1.01,3.22,1.72,1.13,2.30,2.56,2.24,0.86,1.45,1.07,3.03,3.70,3.95,0.24,3.08,0.08,2.02,4.73,1.12,1.47,3.55,2.26,4.27,0.40,4.18
August,3.18,3.52,0.42,1.47,3.84,1.56,4.33,2.27,2.10,2.94,1.58,1.87,1.32,2.40,2.53,0.97,2.34,1.74,4.22,8.26,3.44,1.51,4.54,3.86,1.23,1.72,1.62,2.00,0.94,1.95,4.06,2.73,3.91,3.60,1.42,2.56,2.66,2.76,2.87,2.85,0.63,4.90,3.33,2.47,5.36,4.00,3.32,1.29,1.62,2.49,5.46,2.89,1.32,4.61,0.63,1.48,2.46,2.62,5.75,2.11,2.80,1.36,2.49,2.41
September,2.30,2.93,2.11,4.70,2.42,2.54,0.25,3.14,1.63,1.86,4.04,1.48,5.17,2.92,2.31,0.52,1.74,2.46,4.12,2.05,3.36,3.65,2.84,1.82,4.95,0.76,2.90,0.79,1.96,1.98,1.87,0.95,1.13,1.79,1.21,0.96,0.90,4.80,4.03,0.28,2.22,1.07,0.55,0.10,4.23,1.98,2.05,1.11,0.51,1.81,1.43,0.42,1.86,1.75,1.69,0.85,1.03,1.12,0.60,3.53,1.46,1.85,0.90,2.09
October,2.64,1.45,1.18,1.99,2.35,1.48,3.61,2.09,1.78,2.26,1.63,8.03,1.26,3.37,1.86,1.27,4.39,1.48,2.17,2.51,0.85,5.30,2.73,5.21,3.50,1.02,5.22,3.78,1.92,1.10,4.66,0.97,3.90,4.87,0.92,5.53,3.20,6.95,1.07,2.98,3.42,2.59,1.88,1.14,5.07,0.75,2.29,5.44,4.98,0.95,3.27,2.86,1.62,3.35,2.16,2.82,0.20,1.57,3.04,1.35,4.20,1.17,1.33,1.61
