"WOKING, STONY YARROWS, MAYFORD",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8764,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,2.69,2.84,1.39,2.34,1.91,2.93,,,,,
February,,0.35,2.09,3.76,0.40,3.58,1.61,,,,,
March,,1.01,1.94,2.62,0.92,0.66,0.31,,,,,
April,,0.74,2.68,2.32,2.96,2.32,3.36,,,,,
May,,1.55,0.74,2.57,2.84,2.26,1.72,,,,,
June,,0.25,0.87,0.29,2.88,0.02,3.48,,,,,
July,,0.18,3.09,1.07,4.27,2.92,1.82,,,,,
August,,0.36,2.23,1.98,2.87,3.26,0.81,,,,,
September,,1.26,1.24,1.34,3.57,2.54,1.84,,,,,
October,,0.62,1.08,5.79,3.49,3.06,2.39,,,,,
November,,1.73,1.14,1.49,2.39,1.87,5.21,,,,,
December,,1.17,4.09,2.35,3.53,2.52,0.25,,,,,
Total,,11.91,24.03,26.97,32.46,26.92,25.73,,,,,
Calc annual,0.00,11.91,24.03,26.97,32.46,26.92,25.73,0.00,0.00,0.00,0.00,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,
