DERBY-HEYWORTH-STREET,,,,,,,,,,,,,,,,,,,,
Grid ref,SK334365,Long,-1.5046332,Lat,52.924879,Elevation,240,ft.,,,,,,,,,,,,
Station no,2661/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,3.55,5.18,2.92,3.03,3,4.3,3.26,1.78,2.89,,,,
February,,,,,,,,0.96,1.36,3.43,2.4,1.22,0.75,1.99,2.66,3.67,,,,
March,,,,,,,,0.36,1.69,2.23,2.79,2.07,1.17,0.23,0.83,0.81,,,,
April,,,,,,,,0.15,2,2.21,1.78,1.11,1.1,2.31,1.95,1.16,,,,
May,,,,,,,,2.11,0.91,1.43,2.5,3.82,3.28,1.51,2.55,1.38,,,,
June,,,,,,,,1.73,1.26,0.78,0.88,0.22,2.16,1.94,2.98,4.02,,,,
July,,,,,,,,5.01,4.64,2.83,4.38,2.12,1.32,3.06,2.47,1.67,,,,
August,,,,,,,,1.59,2.34,0.34,4.63,2.44,3.17,2.86,2.8,4.96,,,,
September,,,,,,,,3.83,1,0.72,0.52,1.22,2.64,4.2,2.69,3.82,,,,
October,,,,,,,,2.5,3.58,4.26,3.08,2.23,2.06,2.93,3.8,1.24,,,,
November,,,,,,,,3.03,4.35,6.05,3.05,1.23,2.4,4.51,0.19,4.99,,,,
December,,,,,,,,3.79,1.98,2.25,1.26,2.25,1.03,1.66,2.05,2.46,,,,
Total,,,,,,,,28.61,30.29,29.45,30.3,22.93,25.38,30.46,26.75,33.07,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is on Heyworth Street with stated relationship to church,,,,,,,,,,,,,,,,,,,,
1940s record has an NGR of SK342356 1.2km SSE!,,,,,,,,,,,,,,,,,,,,
