"TOWCESTER BRADDEN RECTORY",,,,,,,,,,,,
Grid ref,SP647485,Long,-1.056216,Lat,52.131026,,,,,,,
Station no,1097,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,0.67,2.05,2.85,0.85,3.65,0.88,1.14,0.63,,
February,,,1.34,0.99,3.81,0.71,2.01,1.13,0.73,0.43,,
March,,,1.36,2.83,1.87,2.83,1.26,0.94,3.06,2.42,,
April,,,1.33,1.78,0.91,1.92,0.69,2.19,3.66,1.64,,
May,,,1.47,3.34,2.48,0.96,1.54,4.07,1.32,1.28,,
June,,,1.95,3.57,0.58,2.74,3.79,2.16,1.33,4.38,,
July,,,1.49,3.49,3.12,0.46,0.81,2.90,2.12,2.39,,
August,,,,3.36,,3.49,1.21,2.00,2.95,2.83,,
September,,,3.72,2.59,,1.24,1.23,0.82,1.43,3.12,,
October,,,2.00,5.64,0.65,0.97,4.60,5.13,1.34,3.39,,
November,,,2.03,1.62,1.35,2.95,4.29,1.77,0.74,0.57,,
December,,,1.26,1.41,1.75,0.94,1.61,3.51,1.64,3.05,,
Total,,,18.62,32.67,24.23,20.06,26.69,27.50,21.46,26.13,,
Calc annual,0.00,0.00,18.62,32.67,19.37,20.06,26.69,27.50,21.46,26.13,,
Difference,NaN,NaN,0.00,0.00,4.86,-0.00,0.00,0.00,0.00,-0.00,,
