"LOCH CARRON, STROMEFERRY",,,,,,,,,,,,,,,,,,,,,
Grid ref,NG 86249 34705,Long,-5.554808,Lat,57.352536,Elevation,50,ft,,,,,,,,,,,,,
Station no,5789,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,11,6.82,6.89,10.01,10.67,13.34,1.7,11.43,10.03,12.84,,,,,,,,
February,,,,3.76,4.74,6.39,4.86,2.99,7.73,1.29,0.69,8.09,0.59,,,,,,,,
March,,,,2.21,1.22,5.89,7.5,5.4,5.03,1.74,,0.53,2.98,,,,,,,,
April,,,,3.7,5.11,5.72,3.05,8.46,2.62,3.02,,3.78,6.52,,,,,,,,
May,,,,4.67,2.93,6.07,4.27,3.48,1.01,3.89,3.86,4.83,2.49,,,,,,,,
June,,,,5.39,5.64,2.34,2.96,5.07,4.67,4.14,4.9,4.97,1.6,,,,,,,,
July,,,,6.08,5.31,2.79,2.91,3.04,6.3,4.01,2.33,5.88,6.23,,,,,,,,
August,,,,8.87,5.09,3.82,6.41,4.97,4.52,7.45,10.46,1.52,4.89,,,,,,,,
September,,,,7.85,8.38,4.69,6.34,6.93,5.19,6.21,4,1.79,7.27,,,,,,,,
October,,,,12.37,5.52,4.47,6.9,8.94,7.9,11.39,10.54,7.07,7.61,,,,,,,,
November,,,,6.76,4.96,3.33,7.04,6.41,8.64,8.45,7.25,7.82,8.69,,,,,,,,
December,,,,8.67,13.01,7.75,5.37,0.21,8.02,9.93,6.75,9.88,8.58,,,,,,,,
Total,,,,81.33,68.73,60.15,67.62,66.57,74.97,63.22,,66.19,70.29,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Location approx,,,,,,,,,,,,,,,,,,,,,
Based on Valuation Rolls,,,,,,,,,,,,,,,,,,,,,
1930 Mar Apr + T deleted,,,,,,,,,,,,,,,,,,,,,
