"HORSMONDEN BROAD FORD HOUSE",,,,,,,,,,,,
Grid ref,TQ713397,Long,0.446833,Lat,51.130959,,,,,,,
Station no,RR4063,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.68,1.45,,2.75,5.71,1.35,3.80,1.24,1.91,,,
February,6.83,2.66,,2.36,3.41,1.04,2.42,1.40,1.06,,,
March,1.48,2.78,,4.05,1.65,3.47,2.23,1.12,2.74,,,
April,1.62,3.57,,2.72,0.90,2.87,1.45,3.23,2.67,,,
May,1.33,1.73,,4.72,2.37,1.32,2.15,3.64,1.70,,,
June,3.36,2.34,,6.39,1.37,4.65,2.31,1.61,1.94,,,
July,2.28,2.29,,4.89,1.55,0.46,0.81,1.32,2.86,,,
August,2.57,2.03,,2.35,1.08,2.51,1.18,1.50,4.49,,,
September,1.33,1.12,,3.33,1.38,2.41,1.79,1.12,1.53,,,
October,2.29,2.10,,8.24,2.30,1.79,4.70,4.90,2.28,,,
November,3.61,1.01,,2.90,1.55,4.28,6.25,1.97,0.95,,,
December,4.70,5.12,,2.59,3.68,0.64,2.09,3.10,2.84,,,
Total,36.08,28.20,,47.29,26.95,26.79,31.18,26.15,26.97,,,
Calc annual,36.08,28.20,0.00,47.29,26.95,26.79,31.18,26.15,26.97,0.00,,
Difference,-0.00,-0.00,NaN,-0.00,-0.00,-0.00,0.00,0.00,0.00,NaN,,
