WORSALL HALL,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ394101,Long,-1.393,Lat,54.485,Elevation,60,ft,,,,,,,,,,,,,,,,,,
Station no,3483/6,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,1.91,3.22,2.28,2.11,4.05,2.41,2.87,1.81,2.84,1.33,4.35,1.41,1.25,5.14,0.95,1.17,1.80,1.97,0.79,2.07,2.03,2.62,1.77,1.52,2.41,4.21
February,2.75,2.98,2.76,1.59,1.03,1.02,5.75,1.56,0.68,2.08,1.66,0.56,1.43,0.99,0.46,3.10,2.05,0.40,1.98,1.71,1.53,1.98,1.60,2.89,0.71,1.87
March,0.78,1.45,2.84,0.11,2.20,2.28,2.02,0.80,0.38,0.70,0.36,1.09,2.92,1.11,1.00,0.44,2.80,1.17,0.15,1.51,1.46,0.47,0.94,1.42,0.77,1.73
April,2.65,1.33,2.36,0.07,1.25,1.77,0.49,0.56,1.08,2.09,0.83,1.90,2.83,0.85,1.93,1.93,1.60,1.80,2.07,0.18,0.97,0.84,0.14,1.35,1.42,0.72
May,0.81,1.41,2.77,2.90,1.70,1.50,0.97,2.01,2.16,1.02,3.41,2.13,1.91,1.19,1.04,1.05,3.39,1.15,2.00,2.91,1.97,0.24,1.44,2.75,0.70,0.57
June,2.52,4.51,1.14,2.29,1.64,0.55,0.60,0.82,1.40,2.38,2.16,2.77,2.37,4.55,0.65,1.27,0.96,1.10,2.33,2.65,2.46,3.22,3.00,3.23,2.09,0.33
July,1.00,2.69,1.35,2.75,2.10,6.20,0.86,2.66,1.08,2.23,1.26,3.64,2.21,1.58,1.75,2.14,2.91,1.41,3.04,1.68,1.08,3.26,3.20,2.35,1.43,4.61
August,2.32,2.71,0.93,2.89,2.38,1.02,2.83,1.89,3.40,2.13,3.29,3.71,0.21,2.83,2.08,6.04,6.79,2.39,3.17,4.90,0.65,6.79,3.31,2.76,0.15,3.68
September,4.18,4.32,1.28,1.67,1.17,1.02,0.36,2.31,3.89,3.93,1.51,3.39,2.10,1.17,0.93,2.87,1.20,3.90,1.76,1.49,1.10,2.50,3.12,2.26,0.90,2.17
October,4.21,1.63,1.60,3.32,4.16,3.07,3.50,2.03,1.82,2.74,3.27,1.26,0.34,1.14,2.69,1.01,1.37,2.61,1.67,3.97,1.81,1.14,1.58,1.24,1.19,4.45
November,3.69,2.23,2.27,2.60,2.01,3.16,2.66,1.14,2.22,4.09,0.70,4.25,1.60,1.39,3.31,5.61,5.06,2.53,1.65,3.89,2.17,0.77,1.42,0.83,3.15,3.00
December,1.95,1.32,4.05,3.61,1.04,2.40,0.28,2.33,1.22,1.45,1.06,2.47,1.58,1.76,2.07,2.55,2.97,2.19,0.80,1.63,2.51,2.11,1.81,2.09,2.88,2.79
Total,28.77,29.80,25.63,25.91,24.73,26.40,23.19,19.92,22.17,26.17,23.86,28.58,20.75,23.70,18.86,29.18,32.90,22.62,21.41,28.59,19.74,25.94,23.33,24.69,17.80,30.13
,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_20_pt1/069,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/249,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_22_pt1/074,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1974 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,
