"HARTLEY GRANGE",,,,,,,,,,,,
Grid ref,SU758565,Long,-0.914075,Lat,51.302585,,,,,,,
Station no,RR1120,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.71,1.28,0.90,2.73,3.28,0.85,5.23,0.85,1.74,1.01,,
February,5.73,1.87,0.94,1.43,3.43,0.68,2.19,1.72,1.13,0.40,,
March,1.16,1.89,2.00,4.15,1.33,4.87,1.58,0.98,3.69,3.99,,
April,1.20,2.06,1.09,2.12,1.36,1.81,0.68,4.90,4.18,1.70,,
May,1.59,0.62,2.90,3.14,3.40,0.68,2.33,1.87,1.65,1.46,,
June,2.01,1.82,3.48,5.58,0.92,5.09,2.22,2.30,1.05,4.76,,
July,0.52,2.46,1.33,3.43,2.07,1.06,0.56,1.22,1.64,2.70,,
August,2.83,2.65,3.51,3.08,2.14,2.57,1.29,2.65,3.43,1.67,,
September,0.81,1.15,0.38,2.43,1.26,2.42,0.91,0.67,1.60,3.61,,
October,2.38,2.94,1.74,7.74,1.86,1.66,5.59,6.43,2.29,6.49,,
November,2.04,0.51,3.09,1.90,1.62,4.00,4.33,2.57,0.92,0.61,,
December,3.16,4.11,1.74,2.78,3.00,0.75,2.12,4.32,2.46,3.65,,
Total,26.14,23.36,23.10,40.51,25.67,26.44,29.03,30.48,25.78,32.05,,
Calc annual,26.14,23.36,23.10,40.51,25.67,26.44,29.03,30.48,25.78,32.05,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,,
