SEDBERGH BRIGG FLATTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD640911,Long,-2.554868,Lat,54.314213,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.88,2.17,0.8,0.39,4.18,8.32,8.32,3.96,6.74,4.42,2.97,4.12,,4.57,5.37,2.67,4.93,2.65,4.3,1.6,6.62,9.04,7.82,3.49,4.59,10.13,6.31,2.91,,,,,,,,,,,,,,,8.59,11.26,5.88,5.99,4.96,5.26,7.73,6.26,14.33,1.73,9.84,6.06,8.3,5.13,7.92,2.4,6.18,5.31,8.71,6.01,2.3,0.92,7.28,8.55,7.44,5,5.88,6.13,10.24,4.93,3.82,6.44,5.59,3.45,5.38,3.93,3.96,8.08,5.6,,6.44
February,,,,,,,,,2.4,3.13,4.62,4.49,5.05,4.06,2.95,6.22,2.04,3.35,1.12,3.49,,0.83,2.1,9.45,9.15,0.61,2.57,4.92,5.83,3.73,4.83,1.59,1.08,6.33,4.15,3.29,,,,,,,,,,,,,,,7.38,0.24,6.1,7.27,1.19,7.3,7.39,3.34,7.85,1,0.43,5.87,0.22,6.01,0.33,8.82,2.93,8.61,3.07,7.29,2.02,6.71,1.86,4.19,2.9,7.16,4.61,1.02,4.69,5.37,6.61,5.81,1.64,3.82,4.39,1.93,1.48,4.43,7.15,2.13,4.59
March,,,,,,,,,2.68,3.63,3.55,5.19,5.57,2.06,3.51,5.73,5.53,2.74,3.67,4.09,,2.69,0.63,1.91,4.45,5.62,6.83,8.49,1.74,3.33,0.38,4.92,3.19,6.04,3.9,3.47,,,,,,,,,,,,,,,7.19,7.38,3.94,2.06,2.77,1.91,3.57,5.08,4.35,1.76,3.5,1.18,3.9,3.18,3.88,1.83,3.07,1.73,3.5,3.81,6.34,3.6,3.63,2.02,0.7,3.71,2.32,5.52,5.39,2.27,3.09,5.5,3.57,1.34,3.21,1.21,1.97,4.6,1.01,3.6,1.57
April,,,,,,,,,2.56,1.69,1.9,1.58,4.59,2.34,1.21,3.37,4.19,2.66,2.69,2.04,,1.63,2.14,0.58,1.87,2.51,2.22,3.26,4.75,5.21,3.69,4.15,2.26,1.72,5.57,4.18,,,,,,,,,,,,,,,5.85,1.53,2.88,4.8,2.3,5.58,2.86,3.59,1.58,2.22,3.09,3.63,5.76,2.04,3.51,4.02,1.18,3.45,0.76,2.91,1.8,1.71,2.83,4,3.56,2.62,1.63,6.91,3.07,7.36,4.23,3.76,4.03,3.54,2.2,3.07,1.06,1.1,1.75,3.74,3.09
May,,,,,,,,,4.82,2.34,2.38,4.82,1.97,2.27,4.18,2.07,4.85,1.82,2.31,2.7,,2.12,6.07,2.61,4.33,1.07,0.5,2.37,2.15,4.6,3.13,1.63,3.86,3.14,4.5,2.06,,,,,,,,,,,,,,,7.83,3.96,3.88,4.06,8.41,5.82,2.64,2.88,0.84,3.32,1.84,3.04,4.64,2.99,5.27,0.67,1.27,3.02,5.34,0.85,1.41,2.78,4.2,5.11,3.36,4.01,1.7,3.35,2.31,5.12,2.21,1.16,2.68,2.45,4.42,4.63,3.22,3.63,5.89,1.23,2.32
June,,,,,,,,,4.8,7.15,4.52,5.69,6.01,4.82,0.42,3.06,2.15,0.29,1.9,1.87,,1.92,4.19,1.17,2.98,2.87,3.74,4.69,3.48,1.29,3.86,2.48,1.15,1.9,2.47,3.23,,,,,,,,,,,,,,,2.17,0.53,3.51,1.23,4.8,0.29,3.14,4.3,9.09,2.53,3.19,7.83,2.44,2.07,3.28,5.44,3.72,3.02,5.3,5.06,0.98,0.86,1.06,5.67,5.01,4.97,4.12,4.3,7.53,0.89,5.76,1.56,5.67,5.91,4.85,4.07,1.8,2.48,3.43,3.72,2.08
July,,,,,,,,,0.86,6.41,6.2,7.87,7.85,4.62,4.79,2.92,7.13,2.53,5.92,3.82,,3.32,1.98,4.47,4.08,7.93,4.66,2.04,1.03,4.53,2.76,1.14,4.35,5.74,1.7,2.7,,,,,,,,,,,,,,,8.55,2.62,7.02,6.15,5.62,2.14,4.76,5.59,7.53,5.12,5.62,7.29,6.53,4.42,2.65,2.91,6.28,3.47,6.28,6.61,7.17,2.17,5.5,6.76,5.92,2.54,6.68,6.07,3.34,3.97,5.42,4.93,2.16,7.9,8.36,1.83,3.05,4.59,3.56,4.01,7.15
August,,,,,,,,,4.58,5.65,1.91,7.24,3.5,4.46,1.19,3.27,2.89,2.3,4.41,6.15,,14.54,11.85,4.63,4.94,7.55,3.1,6.71,9.34,2.32,4.93,4.12,2.85,9.06,4.71,5.55,,,,,,,,,,,,,,,3.61,8.06,5.12,8.31,4.38,4.54,4.88,9.2,8.54,9.17,7.92,4,1.93,2.89,5.57,3.9,4.02,2.47,5.31,2.75,2.54,5.72,6.44,8.64,5.38,2.76,7.12,0.16,6.21,3.5,9.1,5.61,6.06,6.53,7.69,1.78,10.9,5.63,4.6,1.11,3.34
September,,,,,,,,,5.88,4.39,4.63,1.98,2.78,4.54,5.12,6.71,6.69,5.95,2.21,2.85,,8.05,10.81,4.98,0.52,1.55,7.38,5.43,2.83,5.5,3.53,2.37,1.68,7.38,2.53,4.18,,,,,,,,,,,,,,,3.32,2.77,4.81,7.06,6.86,4.44,6.41,8.29,3.61,2.61,3.04,3.06,7.35,1.41,6.12,10.57,6.04,5.52,2.13,2.7,5.27,1.6,7.78,5.5,6.47,4.75,8.97,5.61,8.22,2.38,9.89,6.16,4.23,7.95,10.21,3.79,3.01,5.26,5.66,1.29,4.06
October,,,,,,,,,6.29,2.96,2.05,3.62,3.68,7,3.64,4.5,7.05,2.13,4.57,6.38,,5.49,6.12,5.85,4.89,5.34,4.81,3.13,4.93,4.6,8.62,4.73,3.62,11.62,2.6,4.29,,,,,,,,,,,,,,,1.25,3.33,2.21,10.15,5.87,6.59,3.86,6.21,6.8,7.83,9.57,4.69,8.19,5.93,10,8.71,6.03,1.94,14.74,1.71,6.42,7.06,6.44,6.83,5.31,7.35,0.58,0.64,5.26,6.91,5.3,1.38,4.06,2.14,12.31,2.83,5.18,7.41,6.2,5.74,2.59
