GRANGE-IN-BORROWDALE (BIELD),,,,,,,,,,,,,,,,,,,,
Grid ref,NY247177,Long,-3.165623,Lat,54.548926,Elevation,370,ft,,,,,,,,,,,,
Station no,3638/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,14.96,14.23,3.32,1.89,6.73,15.68,13.6,7.15,14.18,11.09,14.96,6.77,
February,,,,,,,,5.8,13.81,2.83,8.24,3.3,8.22,3.07,9.47,5.83,1.14,7.81,8.97,
March,,,,,,,,7.52,7.63,9.8,4.44,5.97,2.81,0.82,6.73,6.63,8.06,9.82,2.71,
April,,,,,,,,1.2,4.33,3.69,3.69,5.72,5.42,5.34,3.88,2.3,15.98,3.83,10.87,
May,,,,,,,,6.64,1.1,1.53,5.81,7.65,8.01,3.82,7.95,1.81,4.37,2.36,4.67,
June,,,,,,,,12,6.7,1.2,0.55,1.69,5.29,8.31,5.63,5.34,4.41,12.15,1.49,
July,,,,,,,,15.96,11.29,7.56,2.56,5.41,4.96,3.42,6.44,9.3,5.22,4.86,2.77,
August,,,,,,,,5.36,3.92,3.63,11.47,9.61,11.4,7.06,2.16,10.19,0.04,9.01,4.34,
September,,,,,,,,5.76,2.74,8.08,2.01,11.41,9.79,8.27,9.74,13.72,8.02,10.55,2.98,
October,,,,,,,,24.28,3.73,11.99,8.84,10.19,14.23,8.37,10.86,0.59,1.96,7.51,12.68,
November,,,,,,,,17,16.02,11.99,7.3,3.22,6.25,14.79,0.73,16.73,16.08,7.98,15.02,
December,,,,,,,,8.44,5.66,10.24,7.25,15.69,4.51,9.88,8,11.43,3.88,13.45,16.09,
Total,,,,,,,,124.92,91.16,75.86,64.05,86.59,96.57,86.75,78.74,98.05,80.25,104.29,89.36,
,,,,,,,,,,,,,,,,,,,,
1949 July,,,,,,,,,,,,,,,,,,,,
