ARDFERN (CRAIGNISH CASTLE),,,,,,,,,,,,,,,,,,,,
Grid ref,NM7727001812,Long,-5.58813,Lat,56.1568,Elevation,60,ft,,,,,,,,,,,,
Station no,5409/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,9.55,3.6,3.92,9.25,,,2.24,0.24,6.7,5.48,7.69,4.17,7.49,4.9,,,
February,,,,0.7,8.75,2.15,6.1,,,3.26,4.8,2.66,5.25,2.21,7.88,4.56,0,,,
March,,,,3.15,3.1,3.37,1.45,,,4.55,2.88,3.46,2.73,1.81,4.28,2.58,3.02,,,
April,,,,4.93,2.92,2.25,2.14,,,2.38,2.51,1.83,4.86,3.52,2.93,3.3,6.22,,,
May,,,,5.17,0.2,4.72,3.43,,,2.75,1.66,3.63,3.94,4.33,3.85,1,4.17,,,
June,,,,3.85,4.6,2.48,1.17,,2.5,1.38,2.1,3.53,5.03,4.28,4.05,4.32,5.66,,,
July,,,,3.9,3.8,4.57,9.15,,7.62,3.78,3.22,5.7,2.5,3.77,3.94,6.26,7.54,,,
August,,,,4.1,4.65,3.15,3.5,,2.44,4.13,5.62,6.45,7.66,4.62,1.5,3.56,,,,
September,,,,1.63,8.4,4.1,3.2,,3.29,5.69,3.04,7.82,5.49,5.83,,8.3,,,,
October,,,,9.45,11.88,6.85,,,2.37,8.67,5.55,9.29,11.74,7,,0.2,,,,
November,,,,2.05,6.95,5.45,,,9.79,7.71,6.33,2.19,4.36,8.2,,5.51,,,,
December,,,,7.75,5.42,8.25,,,3.54,8.89,3.98,8.32,4.9,6.76,,6.54,,,,
Total,,,,56.23,64.27,51.26,,,,55.43,41.93,61.58,63.94,60.02,,53.62,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5409/5,,,,,,,,,,,,,,,,,,,
Midas,13901,,,,,,,,,,,,,,,,,,,
Hyd Stn,682500,,,,,,,,,,,,,,,,,,,
