EDINBURGH WW (BRAWN'S DOD,,,,,,,,,,,,,,,,,,,,
Grid ref,NT103195,Long,-3.420129,Lat,55.461092,Elevation,1550,ft,,,,,,,,,,,,
Station no,5070/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,6.3,6.3,10.1,3.8,2.76,4.02,3.36,1.56,3.09,4.4,2.4,6.5,5.2,2.5,4.3
February,,,,,,2.6,2,4.9,4.1,4.14,3.2,0.84,1.4,3.72,2.4,1.3,4.4,4.1,1.6,5.9
March,,,,,,4.3,6,4.8,1.3,5.7,2.9,2.8,0.5,3.09,2.6,2.4,3.8,2.4,4.1,2.2
April,,,,,,1.4,11.1,3.5,4.1,2.9,4,3,3.1,1,2.1,0.9,1.9,2.3,4.9,5.55
May,,,,,,1.2,3.7,2.8,2.6,1.4,2.6,2.7,3.8,5.5,3.2,2.3,2.4,4.2,2.5,2.24
June,,,,,,3.5,4.4,5.5,1.2,3.3,1.9,3,1.6,3.8,2.1,3.3,2.1,3.5,3.1,2.5
July,,,,,,5.3,3.2,3,2.4,4.8,3.3,2.8,8.2,4.5,2.3,5,4.4,5,5.1,3.72
August,,,,,,5.2,0,6.8,3.6,6.5,6.4,3.9,2.9,7.3,2.2,8.5,5.2,5.2,1.5,4.36
September,,,,,,7.1,4.6,4.8,2.7,11.2,4.7,2.4,5.5,7.2,3.5,5.5,3,4.9,1.3,3.89
October,,,,,,0.7,2.3,3.6,8.4,4.2,0.6,6.1,4.1,10.1,3.1,3.2,4.5,3.8,6.1,5.44
November,,,,,,10.2,6.7,3.6,5.7,4.5,13.3,4.1,6.3,10.9,3.5,2.2,2.7,1.4,12.6,10.88
December,,,,,,3.9,3,7.7,6.6,1.38,5.1,3.74,4,4.7,5.2,5.7,5.8,5.7,9,4.6
Total,,,,,,51.7,53.3,61.1,46.5,52.78,52.02,38.74,42.96,64.9,36.6,42.7,46.7,47.7,54.3,55.58
,,,,,,,,,,,,,,,,,,,,
15890,BRAWNS DOD ,NT1038719499,01/01/1946,30/11/2002,,,,,,,,,,,,,,,,
