"EDINBURGH WW (BRAWN'S DOD",,,,,,,,,,,,
Grid ref,NT103195,Long,-3.420129,Lat,55.461092,,,,,,,
Station no,5070/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.02,3.36,1.56,3.09,4.40,2.40,6.50,5.20,2.50,4.30,,
February,3.20,0.84,1.40,3.72,2.40,1.30,4.40,4.10,1.60,5.90,,
March,2.90,2.80,0.50,3.09,2.60,2.40,3.80,2.40,4.10,2.20,,
April,4.00,3.00,3.10,1.00,2.10,0.90,1.90,2.30,4.90,5.55,,
May,2.60,2.70,3.80,5.50,3.20,2.30,2.40,4.20,2.50,2.24,,
June,1.90,3.00,1.60,3.80,2.10,3.30,2.10,3.50,3.10,2.50,,
July,3.30,2.80,8.20,4.50,2.30,5.00,4.40,5.00,5.10,3.72,,
August,6.40,3.90,2.90,7.30,2.20,8.50,5.20,5.20,1.50,4.36,,
September,4.70,2.40,5.50,7.20,3.50,5.50,3.00,4.90,1.30,3.89,,
October,0.60,6.10,4.10,10.10,3.10,3.20,4.50,3.80,6.10,5.44,,
November,13.30,4.10,6.30,10.90,3.50,2.20,2.70,1.40,12.60,10.88,,
December,5.10,3.74,4.00,4.70,5.20,5.70,5.80,5.70,9.00,4.60,,
Total,52.02,38.74,42.96,64.90,36.60,42.70,46.70,47.70,54.30,55.58,,
Calc annual,52.02,38.74,42.96,64.90,36.60,42.70,46.70,47.70,54.30,55.58,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
