"BARDEN RESERVOIR",,,,,,,,,,,,
Grid ref,SE035563,Long,-1.948093,Lat,54.002717,,,,,,,
Station no,3334,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.02,4.38,1.64,3.91,2.98,6.52,5.31,4.30,4.08,6.76,,
February,3.70,1.27,3.83,3.60,2.77,2.80,3.66,9.79,0.95,3.97,,
March,3.71,1.97,1.46,3.14,2.70,2.29,4.40,2.19,2.54,2.36,,
April,1.47,1.67,3.21,1.00,1.93,2.34,0.62,1.70,4.40,3.24,,
May,2.44,1.38,1.89,3.40,4.77,2.20,1.50,5.50,1.03,1.70,,
June,1.04,2.72,2.98,4.34,3.57,2.76,2.10,6.50,2.71,1.64,,
July,2.09,2.26,5.98,5.57,1.14,4.83,4.87,4.57,2.71,9.15,,
August,3.38,6.56,5.58,8.81,1.40,9.77,6.27,5.55,0.68,4.09,,
September,2.37,4.46,3.99,4.99,3.02,5.07,5.81,5.78,0.36,4.16,,
October,1.05,4.13,2.56,9.26,3.56,2.78,6.63,3.93,4.49,4.94,,
November,5.38,2.47,5.65,6.85,2.73,1.68,2.69,2.06,4.97,8.45,,
December,5.89,4.61,2.43,8.11,8.13,5.53,5.96,5.34,8.42,6.90,,
Total,36.54,37.88,41.20,62.98,38.70,48.57,49.82,57.21,37.34,57.36,,
Calc annual,36.54,37.88,41.20,62.98,38.70,48.57,49.82,57.21,37.34,57.36,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
