Rainfall at,BARDEN RESERVOIR
,
Station no,3334,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,5.26,7.42,3.98,4.20,3.27,4.90,4.67,5.27,9.86,2.50,6.97,
February,3.63,0.46,5.53,5.91,1.32,6.45,4.46,1.75,5.96,1.06,0.66,
March,3.10,3.22,3.31,2.43,1.61,1.32,2.18,3.76,3.13,0.52,2.80,
April,4.06,1.35,3.12,3.51,2.02,3.66,1.63,4.64,1.06,1.97,3.01,
May,4.30,1.82,1.63,4.35,5.84,5.14,4.01,1.69,1.75,2.30,2.05,
June,2.56,0.41,2.61,1.12,2.40,0.09,3.57,4.13,5.42,1.65,2.47,
July,6.45,2.89,5.59,4.62,4.85,1.77,3.59,5.14,2.39,3.62,5.35,
August,2.83,5.85,4.46,5.71,5.81,5.46,5.72,7.78,6.55,5.22,4.99,
September,1.79,2.68,4.68,5.02,4.68,3.60,3.40,6.27,0.75,1.73,3.90,
October,2.78,3.72,0.73,6.74,4.54,4.81,4.65,5.46,5.94,6.54,5.82,
November,3.20,2.97,2.39,6.27,3.72,2.69,7.18,5.02,6.23,6.66,5.35,
December,4.04,8.04,3.73,4.08,4.58,4.89,2.44,1.78,3.20,9.13,3.67,
Total,44.00,40.83,41.76,53.96,44.64,44.78,47.50,52.69,52.24,42.90,47.04,
Calc annual,44.00,40.83,41.76,53.96,44.64,44.78,47.50,52.69,52.24,42.90,47.04,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
