BARDEN RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE035563,Long,-1.948093,Lat,54.002717,Elevation,746,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3334,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,,3.81,1.01,5.38,6.77,3.58,6.02,2.31,6.23,7.16,1.61,1.83,0.62,4.76,5.66,7.21,2.66,6.4,2.27,1.86,2.4,4.9,3.35,4.4,1.6,4.73,4.39,2.77,2.25,4.03,6.99,5.48,3.08,3.29,4.62,4.38,2.31,5.24,2.16,3.6,2.18
February,,,,,,,,,,,2.22,3.84,3.81,1,1.6,1.35,6.65,4.22,1.96,3.19,3.65,6.46,3.23,2.69,4.1,2.96,1.62,1.3,1.27,2.38,0.99,0.6,3.41,5.14,6.85,1.07,1.74,3.03,5.04,2.33,5.05,1.84,1.64,5.61,3.82,3.32,3.16,2.54,3.47,3.24
March,,,,,,,,,,2.26,1.39,2.14,4.21,4.31,5.56,1.3,5.72,4.77,2.9,3.03,3.13,5.75,6.14,1.14,2.01,2.07,3.2,1.31,3.04,3.16,4.54,3.17,1.54,1.19,3.94,3.25,5.78,5.67,2.4,2.4,0.94,2.98,3.05,6.4,2.41,3.22,3.16,4,4.16,3.84
April,,,,,,,,,,3.19,1.86,2.71,3.22,0.6,2.15,1.52,3.05,3.41,2.63,1.87,3.22,1.66,4.63,3,1.53,2.04,3.11,1.77,2.9,2.7,1.58,2.06,2.4,0.96,2.48,2.42,2.84,2.54,3.57,3.34,2.62,3.17,2.13,2.64,3.92,2.92,1.86,3.01,3.16,3.76
May,,,,,,,,,,3.57,1.42,1.45,2.38,2.96,2.44,3.07,0.95,3.07,5.99,1.69,2.39,3.53,1.82,0.83,2.91,3.13,3.83,2.32,1.2,2.21,2.65,2.37,4.15,2.63,2.21,0.39,0.68,2.03,3.08,3.97,1.64,1.31,3.06,3.11,4.02,0.58,4.2,3.83,2.96,2.76
June,,,,,,,,,,1.44,2.78,3.44,7.89,1.96,0.56,3.58,2.33,1.79,3.98,4.34,4.5,2.35,4.88,2.87,0.35,2.9,1.75,0.16,2.06,0.75,3.78,1.2,4.44,3.27,2.87,2.78,3.35,4.16,3.33,2.06,3.68,1.66,1.24,2.24,2.14,2.55,2.11,6.45,2.81,2.8
July,,,,,,,,,,1.23,0.81,5.12,4.09,4.41,3.03,4.1,3.91,6.54,1.26,5.83,6.91,5.46,5.16,4.54,5.48,1.53,3.57,1.69,6.74,3.36,4.21,4.52,2.1,5.06,3.82,5.99,4.2,2.82,1.15,2.09,3.34,1.84,3.42,4.89,2.02,1.55,2.84,2.86,5.05,5.85
August,,,,,,,,,,2.35,1.77,1.43,4,7.19,6.47,3.22,3.44,5.59,6.56,6.8,2.35,6.48,3.51,3.44,1.55,1.23,2.15,1.8,4.49,6.97,6.92,7.63,6.11,4.12,4.49,4.01,2.19,5.67,5.84,2.04,6.29,3.37,2.63,5.83,4.53,4.34,4.84,4.37,3.59,3.2
September,,,,,,,,,,7.29,2.16,4.3,7.82,3.98,4.9,4.39,4.73,3.53,5.3,1.78,4.4,2.83,2.96,6.51,3.3,4.74,3.43,6.56,1.21,2.42,3.02,2.88,3.1,3.85,0.54,2.09,5.82,4.8,1.15,6.2,1.81,1.78,1.66,5.17,1.33,3.16,1.22,1.03,4.76,3.67
October,,,,,,,,,,3.12,8.04,4,5.89,5.67,5.36,4.79,2.92,6.57,4.58,2.84,4.77,4.77,5.1,6.35,3.42,5.63,5.25,2.71,1.26,5.75,3.21,4.72,7.72,4.69,4.78,5.75,4.33,2.14,6.37,3.71,6.81,2.88,4.13,10.13,1.63,3.03,5.76,5.68,2.17,3.95
November,,,,,,,,,,5.44,2.72,1.37,5.86,5.44,3.87,5.28,3.84,6.97,3.52,1.66,6.7,5.41,7.15,3.92,2.1,3.11,3.46,3.42,8.86,1.85,5.48,4.67,2.61,2.67,2.83,3.56,1.23,3.75,3.46,2.67,5.87,5.06,2.89,3.37,4.51,5.06,5.27,2.61,3.3,1.97
December,,,,,,,,,,5.41,2.96,3,5.18,2.1,4,2.51,7.32,4.52,2.02,1.92,7.16,4.2,4.34,3.63,6.48,1.77,5.06,2.75,2.68,3.07,1.06,7.4,1.97,4.07,4.45,4.51,4.75,4.88,5.61,4.39,5.21,6.38,4.12,2.88,3.42,1.25,3.74,5.96,3.23,6.41
Total,,,,,,,,,,,31.94,33.81,59.73,46.39,43.52,41.13,47.17,57.21,47.86,36.56,51.01,49.52,53.68,44.58,40.44,33.77,42.83,28.06,37.57,37.02,42.34,44.57,43.95,39.25,43.99,40.21,39.68,43.74,45.03,42.19,48.74,35.35,33.26,56.89,38.13,33.29,43.4,44.5,42.26,43.63
