PENCOMBE RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO603521,Long,-2.581839,Lat,52.16573,Elevation,520,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,3.9,1.64,1.04,1.06,2.24,0.56,4.26,3.66,0.87,3.21,0.98,1.4,2.88,2.86,3.26,2.99,,,,,,,,,
February,,,,,,,2.01,1.07,1.11,0.79,3.91,1.46,1.8,1.34,2.31,4.08,5.7,1.25,1.37,3.16,0.8,0.28,,,,,,,,,
March,,,,,,,1.41,0.91,3.08,3.03,0.62,2.06,4.43,5.02,2.51,0.58,3.67,2.56,1.62,4.86,3.22,1.4,,,,,,,,,
April,,,,,,,1.08,2.35,3.54,2.39,2.15,1.26,0.12,4.24,1.15,1.35,0.71,1.45,2.46,1.99,4.74,1.09,,,,,,,,,
May,,,,,,,2.75,3.02,2.28,1.22,1.75,2.8,2.54,2.91,1.87,2.89,3.29,3.99,1.57,0.7,2.05,1.55,,,,,,,,,
June,,,,,,,3.92,2.88,1.58,2.95,3.17,2.9,4.1,0.83,2.64,0.85,1.43,2.55,0.69,1.08,3.19,0.68,,,,,,,,,
July,,,,,,,0.75,4.82,1.94,3.57,1.94,0.18,3.89,0.89,3.92,6.21,2.02,2.45,3.13,3.09,5.75,0.64,,,,,,,,,
August,,,,,,,2.21,2.65,3.28,1.99,5.32,2.64,8.69,1.47,1.77,2.35,2.05,5.8,1.94,2.7,1.21,3.46,,,,,,,,,
September,,,,,,,1.01,0.73,2.73,3.3,0.74,1.84,0.9,3.28,1.23,1.07,1.31,1.95,7.48,1.83,2.26,1.58,,,,,,,,,
October,,,,,,,5.34,8.03,1.98,3.87,3.7,1.97,3.19,3.92,1.99,4.78,4.39,2.96,1.63,2.09,2.86,1.5,,,,,,,,,
November,,,,,,,3.15,2.78,1.63,1.03,4.26,2.58,1.82,2.98,2.79,2.52,2.62,0.99,2.36,1.39,0.93,2.16,,,,,,,,,
December,,,,,,,2.05,3.27,2.61,3.92,6.13,6.78,3.92,1.07,5.83,5.24,2.04,0.98,2.56,3.36,2.62,1.79,,,,,,,,,
Total,,,,,,,29.58,34.15,26.8,29.12,35.93,27.03,39.66,31.61,28.88,35.13,30.21,28.33,29.69,29.11,32.89,19.12,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910 Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
