"OXFORD (RICHMOND ROAD)",,,,,,,,,,,,
Grid ref,SP507067,Long,-1.266871,Lat,51.756702,,,,,,,
Station no,RR4369,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.15,1.79,0.86,1.26,2.68,3.94,1.53,3.23,3.58,3.24,,
February,3.62,0.50,1.47,2.37,1.39,0.27,2.78,2.49,0.07,1.93,,
March,3.73,1.58,0.67,2.53,1.34,0.63,1.65,1.25,3.26,0.95,,
April,2.55,1.59,1.94,0.33,0.55,1.81,0.38,1.11,1.92,0.62,,
May,2.28,2.20,1.63,1.94,4.05,0.26,1.61,2.01,0.80,2.54,,
June,1.46,1.25,1.48,3.35,3.95,2.37,2.05,3.13,0.87,4.17,,
July,1.12,0.26,2.96,2.04,0.25,2.40,3.01,2.51,2.50,3.97,,
August,3.72,4.70,2.68,2.86,0.37,4.33,4.10,2.44,1.89,1.99,,
September,3.69,1.56,1.78,2.50,1.41,2.09,4.03,3.10,0.20,4.17,,
October,0.93,3.84,2.13,2.00,1.48,1.79,1.99,2.72,1.98,5.53,,
November,5.32,3.84,1.52,4.49,1.36,0.72,1.93,3.05,1.79,4.20,,
December,1.62,2.23,0.69,2.07,3.04,3.26,1.82,3.29,4.86,4.11,,
Total,33.19,25.35,19.81,27.74,21.87,23.87,26.88,30.33,23.72,37.42,,
Calc annual,33.19,25.34,19.81,27.74,21.87,23.87,26.88,30.33,23.72,37.42,,
Difference,0.00,0.01,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
