RAPHOE CONVOY HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,IC2117701042,Long,-7.670978,Lat,54.856858,Elevation,110,ft,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,5.52,3.89,4.84,2.77,6.55,5.85,1.77,3.61,0.91,,,,,,,,
February,,,,1.15,2.14,1.16,4.87,4.2,1.86,1.93,3.56,4.48,,,,,,,,
March,,,,2.67,3.25,1.76,6.3,3.65,2.91,2.92,3.11,4.13,,,,,,,,
April,,,,0.63,3.11,1.15,2.84,1.63,2.36,2.48,4.92,2.12,,,,,,,,
May,,,,2.51,2.66,2.32,0.69,1.5,4.71,3.17,1.99,1.7,,,,,,,,
June,,,,1.14,2.01,3.77,2.97,3.79,4.86,5.2,4.61,4.2,,,,,,,,
July,,,,3.77,2.65,2.49,2.04,4.57,0.49,5.71,5.03,3.06,,,,,,,,
August,,,,5.22,5.66,2.91,3.48,4.86,4.2,3.31,1.72,4.28,,,,,,,,
September,,,,3.67,4.9,3.02,3.59,3.37,4.15,3.22,3.98,3.31,,,,,,,,
October,,,,5.35,6.5,4.82,5.36,6.62,5.59,2.4,3.53,4.16,,,,,,,,
November,,,,2.38,3.6,5.24,3.62,7.18,4.43,2.14,6.12,6.6,,,,,,,,
December,,,,2.37,5.18,4.04,6.16,5.4,3.46,2.76,4.42,5.6,,,,,,,,
Total,,,,36.38,45.55,37.52,44.69,53.32,44.87,37.01,46.6,44.55,,,,,,,,
Calc annual,0,0,0,36.38,45.55,37.52,44.69,53.32,44.87,37.01,46.6,44.55,0,0,0,0,0,0,0,0
Difference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
