"LOCH DUICH (DRUIM SQUARE)",,,,,,,,,,,,
Grid ref,NG903198,Long,-5.474980,Lat,57.220776,,,,,,,
Station no,5787/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.00,6.51,7.30,9.35,5.00,6.85,15.70,9.75,4.92,7.05,,
February,4.10,5.51,6.90,4.50,4.25,6.58,7.55,6.45,5.65,6.10,,
March,4.38,6.65,3.30,4.51,1.90,2.65,6.04,5.99,6.75,1.60,,
April,5.85,4.80,5.90,2.95,5.65,4.01,4.65,6.75,6.75,6.85,,
May,1.30,5.00,4.25,3.50,2.75,7.90,1.35,7.25,2.76,3.50,,
June,2.00,5.60,0.85,7.15,4.85,3.65,5.65,2.75,8.65,7.35,,
July,6.53,5.85,8.85,6.50,1.50,7.05,8.65,3.60,9.01,3.80,,
August,5.70,7.30,9.65,4.95,2.25,6.50,6.10,5.10,8.11,6.90,,
September,6.95,9.30,9.40,10.50,11.50,7.00,8.10,4.40,3.70,5.91,,
October,4.01,11.30,7.40,13.75,10.65,8.45,13.75,13.95,11.40,1.45,,
November,7.10,6.07,15.50,9.95,3.35,8.02,5.90,3.60,10.45,7.40,,
December,14.00,8.80,9.28,12.90,11.91,15.55,16.50,6.59,9.40,8.50,,
Total,69.92,82.69,88.58,90.51,65.56,84.21,99.94,76.18,87.55,66.41,,
Calc annual,69.92,82.69,88.58,90.51,65.56,84.21,99.94,76.18,87.55,66.41,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
