WESTMINSTER-CHESTER-SQUARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ285789,Long,-0.15035404,Lat,51.494448,Elevation,35,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,,2.65,0.72,0.67,1.79,1.97,1.1,3.75,0.75,1.62,0.64,1.65,,,,,,,,,
February,,,,,,,,,,,3.87,0.92,0.95,0.89,2.4,0.72,1.62,1.19,1.36,0.36,2.73,,,,,,,,,
March,,,,,,,,,,,0.84,2.07,1.5,2.1,1.5,3.01,0.88,0.95,1.94,2.67,0.87,,,,,,,,,
April,,,,,,,,,,,0.73,1.76,0.46,1.82,1.1,1.52,0.78,2.96,1.81,1.78,1.53,,,,,,,,,
May,,,,,,,,,,,1.09,0.63,2.53,3.5,1.99,0.77,1.11,1.67,1.28,1.27,1.91,,,,,,,,,
June,,,,,,,,,,,2.46,1.89,3.13,5.54,0.86,3.34,2.46,2.43,1.36,3.55,1.96,,,,,,,,,
July,,,,,,,,,,,1.03,3.93,1.24,4.57,2.09,1.53,0.77,1.06,3.12,3.53,2.54,,,,,,,,,
August,,,,,,,,,,0.58,2.14,1.85,2.52,4.22,1.34,2.51,0.97,1.98,2.2,1.57,1.86,,,,,,,,,
September,,,,,,,,,,3.65,0.97,1.48,1.45,2.34,1.19,1.49,1.65,0.6,1.35,1.97,0.54,,,,,,,,,
October,,,,,,,,,,2.02,1.51,2.14,1.62,5.32,1.62,1.07,3.21,2.26,1.48,3.92,1.53,,,,,,,,,
November,,,,,,,,,,3.74,1.79,0.55,1.68,1.92,1.56,2.9,3.59,1.67,0.6,0.67,2.6,,,,,,,,,
December,,,,,,,,,,1.21,2.36,2.67,1.37,1.21,1.71,0.62,2.21,3.09,1.65,2.18,2.67,,,,,,,,,
Total,,,,,,,,,,,21.44,20.61,19.12,35.22,19.33,20.58,23,20.61,19.77,24.11,22.39,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is centre of Chester Sq. Altitudes match, note gauge height is 10ft. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR could be +/- 150m. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440m from WESTMINSTER-BUCKINGHAM-PALACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
