FROME-SEWAGE-DISPOSAL-WORKS,,,,,,,,,,
Grid ref,ST772492,Long,-2.327999,Lat,51.241517,Elevation,207,ft,,
Station no,1956/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,
June,,,,,,,,,,
July,,,,,,,,,,
August,,,,,,,,,,6.07
September,,,,,,,,,,3.89
October,,,,,,,,,,7.66
November,,,,,,,,,,4.31
December,,,,,,,,,,4.71
Total,,,,,,,,,,
,,,,,,,,,,
Given NGR post 1960 is ST7734048750 but the sewage works did not extend that far south in early 1960's,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as FROME S WKS SRC_ID 9502,,,,,,,,,,
Still in use 2021,,,,,,,,,,
