LONDONDERRY (RICHMOND),,,,,,,,,,,,,,,,,,,,
Grid ref,IC4355416772,Long,-7.3201621,Lat,54.996714,Elevation,21,ft,,,,,,,,,,,,
Station no,RR4082,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,4.85,2.55,6.73,6.3,5.25,4.16,2.5,3,4.44,6.02,5.2,3.63,3.85,1.9,,,
February,,,,2.2,2.6,4,5.15,2.98,3.22,4.05,2.55,2.5,3.05,0.86,1.7,1.5,4.75,,,
March,,,,2.23,3.79,3.4,2.4,2.15,4.9,1.75,1.05,3.05,3.25,2.62,2.8,1.55,5.03,,,
April,,,,2.9,2.6,1.34,1.13,4.3,2.09,2.1,2.2,4.12,2.7,0.75,2.85,1.1,3,,,
May,,,,2.9,2.75,2.9,1.3,2.93,1.84,2.5,2.04,0.16,2.9,2.1,2.6,3.01,,,,
June,,,,5.4,3.2,0.66,1.99,1.15,1.1,2.68,1.7,2.4,3.65,2.2,1.42,2.87,,,,
July,,,,0.92,1.74,2.5,2,7.56,0.78,1.61,1.95,6.2,1.25,5.04,3.9,2.8,,,,
August,,,2.15,4.05,2.42,5.5,4.5,1.64,4.75,1.53,2.4,2.8,4.15,6.5,4.6,2.95,,,,
September,,,2.9,7.25,4.1,0.74,4.35,1.55,1.9,4.5,4.53,3.78,4.9,3.75,5.7,3.5,,,,
October,,,6.23,5.35,3.18,4.32,2.1,7.51,3.55,2.88,9.8,1.63,4.3,5.9,6.2,4.97,,,,
November,,,3.02,3.92,4.75,4.5,5.65,1.3,4.12,7.15,2.5,3.4,4.3,2.4,4.35,4.8,,,,
December,,,5.9,4.77,1.35,2.65,5.1,2.88,3.9,6.5,3.55,2.7,3.2,2.75,5.1,3.2,,,,
Total,,,,46.74,35.03,39.24,41.97,41.2,36.31,39.75,37.27,37.18,43.67,40.07,44.85,36.1,,,,
,,,,,,,,,,,,,,,,,,,,
1861 total estimated on record therefore omitted,,,,,,,,,,,,,,,,,,,,
Shipley Street fairly steep,,,,,,,,,,,,,,,,,,,,
1860s record 150 ft; 1870s record 80ft,,,,,,,,,,,,,,,,,,,,
"Recorder, D Watt probably of D Watt and Co, occupied 31-33 Shipley St in the 1870s. This was at the eastern end of the street",,,,,,,,,,,,,,,,,,,,
Grid ref and elevation taken for the address from modern Irish maps,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
