"SAFFRON WALDEN (AUDLEY END)",,,,,,,,,,,,
Grid ref,TL525381,Long,0.221062,Lat,52.020366,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.89,0.48,0.54,2.00,1.99,1.07,3.26,1.01,0.99,0.92,,
February,3.42,1.06,1.07,0.46,3.08,1.19,2.23,1.27,1.16,0.47,,
March,0.78,2.24,1.09,2.30,1.36,2.44,1.75,0.89,2.40,3.38,,
April,0.73,2.09,0.64,1.75,0.74,1.81,0.81,3.16,2.95,1.68,,
May,1.48,3.03,3.23,3.57,1.57,0.92,1.08,3.39,1.01,1.26,,
June,2.95,1.42,2.35,5.17,1.22,3.49,3.26,1.78,1.66,4.14,,
July,0.88,0.98,1.15,4.36,2.28,1.16,0.96,2.05,2.97,3.16,,
August,2.94,1.82,3.28,3.27,2.42,2.32,0.96,2.17,2.32,2.93,,
September,0.57,1.76,0.75,3.20,1.41,1.13,1.14,0.58,1.91,2.55,,
October,1.81,2.21,1.18,5.41,1.01,1.42,3.50,2.39,1.39,4.17,,
November,2.01,0.99,1.11,1.97,1.32,2.26,3.88,2.16,1.18,0.65,,
December,2.50,3.32,1.18,1.38,1.86,0.83,2.52,3.05,1.85,3.40,,
Total,22.96,21.40,17.57,34.84,20.26,20.04,25.35,23.90,21.79,28.71,,
Calc annual,22.96,21.40,17.57,34.84,20.26,20.04,25.35,23.90,21.79,28.71,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
