BRIDPORT-WEST-STREET,,,,,,,,,,,,,,,,,,,,
Grid ref,SY465929,Long,-2.75879,Lat,50.73374,Elevation,40,ft,,,,,,,,,,,,
Station no,RR8752,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,1.38,6.49,1.63,4.97,0.45,3.2,1.39,3.57,4.05,,,,,
February,,,,,,,3.49,1.31,2.3,4.41,4.18,5.46,,4.43,,,,,,
March,,,,,,,3.1,1.84,2.09,0.45,1.33,2.61,1.34,1.12,,,,,,
April,,,,,,,2.59,3.9,3.53,2.98,1.97,1.74,,0.94,,,,,,
May,,,,,,,0.29,2.1,6.1,2.4,1.13,0.88,,1.69,,,,,,
June,,,,,,,2.81,0.81,1.29,5.93,1.32,2.88,3.94,3.05,,,,,,
July,,,,,,,0.82,2.66,1.96,3.96,3.43,1.76,3.64,2.79,,,,,,
August,,,,,,,2.99,3.2,3.55,5.63,0.53,5.72,3.13,0.79,,,,,,
September,,,,,,,5.65,2.4,2.07,3.33,4.05,2.3,3.25,6.12,,,,,,
October,,,,,,,2.27,2.19,3.43,1.36,6.4,1.8,8.37,3.21,,,,,,
November,,,,,,,5.94,7.86,2.63,0.21,3.94,5.75,3.6,3.68,,,,,,
December,,,,,,,9.52,1.69,2.37,0.97,4.22,3.49,4.1,0.91,,,,,,
Total,,,,,,,40.85,36.45,32.95,36.6,32.95,37.59,,32.3,,,,,,
,,,,,,,,,,,,,,,,,,,,
13 West St,,,,,,,,,,,,,,,,,,,,
No elevation given so unknown if on roof,,,,,,,,,,,,,,,,,,,,
