ANERLEY-OAKFIELD-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ348700,Long,-0.063046,Lat,51.413004,Elevation,155,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,1.86,2.5,0.74,2.43,1.35,1.95,1.41,1.6,1.01,3.87,3.97,2.44,4.04,2.33,2.31,2.28,4.6,1.67,1.63,1.58,1.59,2.78,0.91,1.11,3.01,1.94,1.11,1.28,3.12,3.56,1.37,1.98,2.45,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,2.24,1.13,0.62,0.6,1.72,0.41,1.69,0.26,2.4,1.73,4.05,0.9,1.34,1.48,1.95,0.8,1.53,0.88,1.21,2.16,1.63,1.62,1,4.16,7,1.1,1.35,2.21,1.37,0.37,2.83,2.59,0.08,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,2.51,1.75,0.03,1.58,0.37,1.57,2.23,1.94,0.31,0.97,3.4,0.54,1.36,3.23,2.85,1.94,0.29,0.09,1,1.23,5.13,0.79,0.72,0.76,2.6,3.19,0.62,1.97,1.09,1.16,0.94,1.47,1.8,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,1.94,1.43,1.13,2.21,3.92,2.07,0.71,2.26,2.41,1.8,2.05,0.26,2.53,1.93,1.46,1.02,1.07,1.35,1.16,2.04,1.7,1.24,1.85,3.23,2.46,1.27,2.54,0.26,0.28,1.32,0.3,1.62,2.01,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,1.02,2.64,1.17,3.43,2.86,4.34,2.23,0.53,1.25,0.54,2.25,1.35,1.77,1.28,1.66,2.91,2.22,0.55,2.11,4.2,1.52,1.93,1.94,1.39,2.23,2.88,1.73,2,4.45,0.37,1.25,2.05,0.87,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,2.49,2.18,0.77,0.88,1.75,0.69,1.38,1.1,2.57,2.86,1.73,0.48,1.25,0.58,2.11,0.76,1.57,2.09,1.35,1.93,2.61,1.97,0.84,1.73,1.02,1.95,1.75,3.84,2.08,2.96,0.83,4.84,0.95,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,2.41,2.5,1.69,1.87,3.55,2.48,1.35,2.17,1,3.77,0.56,1.67,2.49,2.52,3.16,2.21,1.66,1.64,3.02,1.98,1.45,1.12,0.84,2.9,1.84,0.7,3.47,3.3,0.58,4.68,2.48,2.33,1.39,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,4.31,2.64,2.05,3.47,5.05,0.99,0.51,2.03,2.09,0.62,0.88,2.59,2.92,0.1,4.37,2.09,1.35,2.58,1.36,4.4,0.18,4.42,1.12,1.89,3.12,3.19,1.63,2.75,1.08,3.33,4.06,3.99,1.4,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,3.6,0.74,0.08,4.11,1.66,1.96,2.99,1.09,3.14,2.58,1.6,2.63,1.38,1.6,0.7,1.56,1.6,2.66,1.56,3,1.5,1.01,0.6,3.08,3.08,2.33,2.75,1.81,2.25,2.13,2.29,4.81,0.08,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,3.16,2.6,1.2,0.51,5.82,1.6,1.57,3.71,2.32,3.01,2.36,5.57,2.25,0.66,3.73,2.54,3.31,2.06,1.05,0.12,2.11,4.66,0.54,0.72,2.7,4.14,1.6,3.49,1.05,1.93,2.82,2.3,5.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
