BRECKNOCK-WATTON-MOUNT,,,,,,,,,,,,,,,,,,,,
Grid ref,SO046284,Long,-3.3893739,Lat,51.945888,Elevation,450,ft.,,,,,,,,,,,,
Station no,RR4047,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,4.11,5.15,8.56,4.54,6.06,3.2,7.76,2.61,2.14,0.77,0.93,4.52,,,,,,,
February,,2.72,7.23,1.4,3.73,2.13,5.16,3.3,2.2,4.54,7.04,5.02,4.41,,,,,,,
March,,3.14,4.05,2.64,2.72,1.74,4.73,2.37,1.24,1.32,2.45,3.73,2.29,,,,,,,
April,,4.41,3.39,2.69,3.79,2.07,3.13,2.48,3.78,2.17,1.74,1.06,5.24,,,,,,,
May,,0.62,1.79,1.59,0.92,2.49,0.97,3.57,5.75,2.96,2.81,2.13,2.82,,,,,,,
June,,2.7,4.83,3.1,2.05,3.43,2.63,2.47,3.55,6.46,5.5,3.37,3.25,,,,,,,
July,2.13,4.19,5.35,2.3,0.89,4.17,0.81,4.11,2.46,4.79,6.41,1.12,5.46,,,,,,,
August,1.34,3.47,3.09,3.38,3.54,2.52,4.92,4.9,7.55,6.41,0.34,5.31,3.81,,,,,,,
September,3,4.62,4.54,1.84,5.18,4.61,6.07,3.54,2.31,4.1,2.13,3.35,2.39,,,,,,,
October,8.25,6.95,6.21,3,3.93,5.46,6.27,4.05,6.5,1.19,6.26,2.78,5.19,,,,,,,
November,5.6,0.7,12.4,2.86,2.98,7.3,3.99,7.8,5.04,0.72,4.56,6.87,7.25,,,,,,,
December,0.68,3.66,8.8,1.79,3.79,1.77,10.32,2.76,3.42,2.5,5.53,4.37,4.64,,,,,,,
Total,,41.29,66.83,35.15,38.06,43.75,52.2,49.11,46.41,39.3,45.54,40.04,51.27,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Watton Mount. Altitudes match but the NGR is nearer the church than stated on the record,,,,,,,,,,,,,,,,,,,,
