STEWARDSTOWN ARDTREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IH8526876271,Long,-6.6803527,Lat,54.627568,Elevation,191,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,1.69,6.1,4.29,2.53,0.98,0.88,1.98,4.84,6.17,2.88,3.88,2.5,2.19,3,4.66,1.98,2.43,2.74,,,,,,
February,,,,,,,4.45,3.54,2.19,1.68,2.4,3.81,2.35,3.24,3.64,3.66,2.76,1.58,0.38,2.61,1.33,0.39,1.65,4.11,,,,,,
March,,,,,,,3.12,2.12,1.53,2.43,3.12,3.34,3.3,1.75,3.64,2.01,2.76,1.3,3.71,1.43,2.31,1.93,1,1.18,,,,,,
April,,,,,,,1.81,3.53,2.59,2.7,4.7,2.02,3.43,1.46,2.18,2.42,1.48,1.59,1.85,3.39,1.6,3.01,0.68,1.47,,,,,,
May,,,,,,,0.58,2.86,3.82,3.68,1,2.08,3,1.79,3.23,2.43,3.14,1.55,2.99,3.67,1.8,3.03,5.62,1.48,,,,,,
June,,,,,,,2.57,1.84,4.19,5.46,2.57,4.34,2.95,1.27,0.62,0.39,1.79,0.96,4.49,0.3,3.37,3.54,4.1,5.42,,,,,,
July,,,,,,2.46,1.27,3.62,0.12,5.26,6.19,2.92,6.42,2.46,2.34,1.73,3.37,2.76,5.39,3.86,1.93,1.89,2.76,2.78,,,,,,
August,,,,,,3.41,2.51,4.9,3.73,3.65,1.82,4.62,3.45,3.75,2.08,2.16,2.15,2.51,3.97,6.91,3.12,5.6,6.14,5.44,,,,,,
September,,,,,,3.42,4.12,1.87,2.89,4.63,3.45,2.91,3.29,6.13,3.14,5.56,3.25,2.98,1.2,2.18,3.12,2.78,3.36,2.11,,,,,,
October,,,,,,5.15,4.93,3.68,4.26,1.61,0.86,2.71,3.18,3.73,3.04,3.43,4.86,1.81,1.23,3.64,2.05,3.62,2.64,2.78,,,,,,
November,,,,,,6.62,4.1,4.94,2.73,1.34,4.39,5.47,6.2,4.57,3.74,2.28,3.08,2.46,3.49,2.22,7.59,2.46,4.4,1.69,,,,,,
December,,,,,,3.04,8.09,3.75,3.39,1.69,3.55,3.59,3.8,2.13,3.84,2.09,5.06,3.46,3.41,3.11,1.75,4.97,2.04,3.41,,,,,,
Total,,,,,,,39.24,42.75,35.73,36.66,35.03,38.69,43.35,37.12,37.66,31.04,37.58,25.46,34.3,36.32,34.63,35.2,36.82,34.61,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second observer lived at the Rectory from 1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
