HULL 8 MANOR HOUSE STREET,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA094281,Long,-0.343,Lat,53.738,Elevation,30,ft,,,,,,,,,,,,,,
Station no,RR1534,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871
January,1.10,1.15,1.72,1.27,1.11,0.91,1.56,1.64,0.28,0.45,3.44,0.73,1.35,3.14,0.90,1.18,1.11,2.32,2.45,2.57,1.10,0.88
February,0.59,0.33,0.54,2.20,0.36,2.33,0.82,0.50,0.27,1.02,0.93,1.90,0.68,0.34,2.00,1.37,1.74,1.01,1.42,1.37,1.98,1.63
March,0.53,1.57,0.43,1.61,0.32,0.96,0.27,0.93,0.96,0.96,2.31,1.49,2.72,1.58,1.51,1.32,1.53,1.87,1.72,2.00,2.17,0.80
April,1.14,0.72,0.02,0.91,0.38,0.12,2.93,1.86,0.98,2.22,0.68,0.81,0.90,1.36,1.22,0.56,0.64,2.17,2.09,1.82,0.42,2.99
May,0.76,0.63,0.45,2.54,2.36,0.77,1.66,0.38,2.53,0.35,2.03,0.51,0.97,0.71,1.25,2.75,1.27,1.49,0.61,5.00,0.78,
June,1.14,3.68,1.71,1.83,1.68,2.18,1.55,0.54,0.53,1.12,4.46,-999.00,1.74,1.82,1.53,1.12,3.25,1.27,0.97,1.08,3.25,
July,3.15,2.15,0.98,1.58,4.81,2.26,1.00,1.84,5.30,0.20,1.29,-999.00,1.42,1.62,0.34,1.56,2.42,3.33,0.96,0.16,0.80,
August,1.38,1.21,2.56,1.07,1.20,2.30,1.96,5.96,3.73,3.19,5.68,0.33,1.18,3.13,1.31,5.30,2.87,1.70,3.26,1.97,1.88,
September,1.59,0.85,5.75,0.69,0.27,0.17,2.66,1.25,2.47,1.27,3.05,1.83,4.60,2.31,2.01,0.36,5.08,1.73,1.53,2.72,1.20,
October,1.89,0.84,1.75,2.20,1.14,4.02,1.69,0.36,2.26,0.61,1.33,0.73,2.05,2.74,1.94,4.42,2.36,1.93,2.64,1.71,5.54,
November,0.82,1.12,3.27,1.14,1.95,1.70,1.41,0.48,1.08,1.97,2.69,2.86,0.84,2.96,1.98,2.16,2.58,1.30,1.62,2.17,1.44,
December,0.48,0.90,1.18,1.48,1.51,0.95,1.00,0.19,1.66,1.31,2.84,1.13,1.25,1.65,2.38,0.77,1.68,2.39,6.33,3.50,3.88,
Total,14.57,15.15,20.36,18.52,17.09,18.67,18.51,15.93,22.05,14.67,30.73,17.16,19.70,23.36,18.37,22.87,26.53,22.51,25.60,26.07,24.44,
,,,,,,,,,,,,,,,,,,,,,,
TYRain_1850-1859_F_pt1/209,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_05_pt1/152,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_08_pt2/002,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
# June-July 1861 are grouped into a single aggregate reading of 4.84 on the sheet.,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
# The observer lived at 8 Manor House Street.,,,,,,,,,,,,,,,,,,,,,,
