GODALMING-MUNSTEAD-HEATH-(8-INCH-GAUGE),,,,,,,,,,,
Grid ref,SU988421,Long,-0.58813,Lat,51.17015,Elevation,410,ft,,,
Station no,184,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,1.69,2.39,3.41,4.67,,,,
February,,,,5.53,0.51,5.34,2.5,,,,
March,,,,2.73,1.3,0.82,0.29,,,,
April,,,,2.34,3.33,2.67,3.82,,,,
May,,,,2.36,2.89,3.58,1.4,,,,
June,,,,0.36,1.67,0.1,3.23,,,,
July,,,,0.92,3.32,4.72,1.47,,,,
August,,,,1.74,3.28,4.13,1.77,,,,
September,,,,2.28,5.43,2.61,1.67,,,,
October,,,,5.09,4.02,2.85,2.79,,,,
November,,,,1.68,3.46,2.88,8.07,,,,
December,,,,2.28,5.35,3.7,0.3,,,,
Total,,,,29,36.95,36.81,31.98,,,,
,,,,,,,,,,,
Stilemans,,,,,,,,,,,
Large grounds but this is near the greenhouse,,,,,,,,,,,
Given elevation of 450ft too high,,,,,,,,,,,
1923 8in gauge,,,,,,,,,,,
1927 New 5in MO gauge,,,,,,,,,,,
