STANSTED-AIRPORT,,,,,,,,,,
Grid ref,TL531226,Long,0.2229,Lat,51.880949,Elevation,330,ft,,
Station no,1239/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,0.73,0.89,1.86,3.35,1.16,2.12,2.35,2.36
February,,,1.75,1.83,1.14,0.49,2.57,3.51,0.07,1.56
March,,,0.33,1.93,1.15,0.74,1.1,0.95,2.15,1.05
April,,,2.33,0.18,0.28,1.16,0.18,1.11,2.5,0.53
May,,,1.56,1.7,4.32,0.5,0.55,2.41,0.71,1.48
June,,,1.9,1.42,2.72,1.8,1.56,4.71,0.69,1.42
July,,0.65,2.94,2.43,0.62,3.03,2.87,2.87,1.44,2.95
August,,5.54,1.96,2.86,1.02,5.5,2.74,3.08,0.64,2.85
September,,2.67,1.33,1.38,1.9,1.85,2.55,3.53,0.06,4.43
October,,2.17,2.87,2.1,3.84,1.71,2.06,2.38,1.89,6.07
November,,3.54,1.11,3.22,0.78,0.92,2.3,1.92,2.54,3.19
December,,2.19,0.62,1.75,1.82,2.77,2.13,2.6,4.09,3.12
Total,,,19.43,21.69,21.45,23.82,21.77,31.19,19.13,31.01
,,,,,,,,,,
,,,,,,,,,,
