ABERDEEN MARISCHAL COLLEGE,,,,,,,,,,,,
Grid ref,NJ942064,Long,-2.0965,Lat,57.1493,Elevation,60,ft,,,,
Station no,RR216,,,,,,,,,,,
,,,,,,,,,,,,
,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840
January,3.48,1.51,1.84,1.35,0.24,2.18,0.34,0.85,1.2,3.91,1.88,2.43
February,0.99,1.34,1.51,0.24,2.77,0.93,0.82,0.96,1.34,3.06,0.51,2.1
March,3.12,0.73,2.92,1.38,1.65,0.43,1.13,3.35,1.02,3.57,3.42,0.75
April,2.74,1.84,2.48,3.86,2.12,0.47,0.55,0.94,1.85,2.07,0.76,0.39
May,0.66,1.62,1.04,1.51,0.18,0.78,0.92,0.32,0.95,2.57,2.07,2.63
June,1.54,2.82,1.4,1.45,3.45,0.82,0.78,1.24,1.75,2.51,3,2.07
July,1.92,5.36,2,1,1.12,0.64,1.38,3.46,3.31,1.96,3.23,1.57
August,4.35,3.9,2.17,1.9,0.76,1.08,0.65,1.54,3.81,2.79,1.56,2.02
September,2.35,3.38,3.14,1.27,3.83,1.03,2.73,2.46,2.23,3.41,4.44,3.2
October,2.72,0.61,3.92,2.07,1.34,1.45,2.06,2.48,0.66,1.64,3.41,2.67
November,2.34,3.62,3.93,2.79,3.04,1.65,2.65,5.23,0.38,3.13,2.04,3.16
December,2.45,3.87,2.81,2.25,1.54,0.82,0.93,1.86,1.79,1.79,4.76,1.63
Total,28.66,30.6,29.16,21.07,22.04,12.28,14.94,24.69,20.29,32.41,31.08,24.62
,,,,,,,,,,,,
,,,,,,,,,,,,
Repeated data on these sheets,,,,,,,,,,,,
Note: This gauge was at roof level until 1837 when it was moved to Ground Level +5ft,,,,,,,,,,,,
IDR 1837 Jun,,,,,,,,,,,,
