KIRBY KNOWLE RECTORY,,,,,,,,
Grid ref,SE469872,Long,-1.281,Lat,54.278,Elevation,436,ft
Station no,RR6541,,,,,,,
,,,,,,,,
,1914,1915,1916,1917,1918,1919,1920,1921
January,,3.89,,4.80,1.89,3.16,3.31,2.48
February,,3.77,,0.63,1.83,1.13,0.89,0.16
March,,1.17,,2.47,1.34,3.29,2.10,0.93
April,,1.12,,1.92,1.45,1.69,3.28,1.09
May,,1.29,,0.85,2.48,0.66,2.27,1.37
June,,0.41,,1.87,1.05,1.36,1.69,0.37
July,4.43,4.03,,1.19,3.53,2.88,4.88,1.06
August,1.69,3.56,,7.47,2.13,2.53,2.73,4.29
September,1.55,0.95,,0.70,5.38,1.27,1.43,1.40
October,2.02,0.93,,1.21,1.81,5.56,2.14,1.48
November,2.98,2.23,,2.49,1.55,3.24,1.14,2.13
December,5.43,5.08,,1.52,3.72,3.27,3.54,1.69
Total,,28.43,,27.12,28.16,30.04,29.40,18.45
,,,,,,,,
TYRain_1910-1919_20_pt1/301,,,,,,,,
TYRain_1920-1930_23_pt1/185,,,,,,,,
