WARMINSTER-SAMBOURNE-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,ST870449,Long,-2.1874552,Lat,51.203161,Elevation,450,ft,,,,,,,,,,,,
Station no,1518/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,5.7,2.64,3.19,3.66,7.24,2.6,,,,,,
February,,,,,,,,,2.28,2.9,3.54,0.31,1.64,0.75,,,,,,
March,,,,,,,,,1.61,2.29,2.98,2.8,0.9,0.45,,,,,,
April,,,,,,,,,3.02,2.32,1.85,2.21,1.07,1.55,,,,,,
May,,,,,,,,,1,1.36,1.7,5.31,2.82,0.54,,,,,,
June,,,,,,,,,2.46,1.08,1.82,0.37,1.85,2.23,,,,,,
July,,,,,,,,,4.63,2.92,1.36,1.77,2.29,2.86,,,,,,
August,,,,,,,,,2.72,0.17,4.93,3.93,3.83,2.25,,,,,,
September,,,,,,,,,0.64,2.89,0.55,1.92,3.61,2.66,,,,,,
October,,,,,,,,,2.92,4.57,1.77,3.94,4.01,5.9,,,,,,
November,,,,,,,,,7.84,9.54,2.15,1.85,2.63,6.96,,,,,,
December,,,,,,,,,2.85,2.45,2.26,4.61,2.76,4.05,,,,,,
Total,,,,,,,,,37.67,35.13,28.1,32.68,34.65,32.8,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1942 Aug IDR,,,,,,,,,,,,,,,,,,,,
