ASHTEAD-HILL-FIELD,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ174571,Long,-0.3173759,Lat,51.300927,Elevation,215,ft.,,,,,,,,,,,,
Station no,RR8468,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,4.17,1.36,4.52,1.07,1.51,1.18,2.28,1.18,2.89,,,,,,,
February,,,,,3.09,0.79,1.93,1.52,1.04,0.68,3.98,1.13,2.19,,,,,,,
March,,,,,1.63,3.48,1.33,0.84,3.15,3.8,1.25,1.75,3.86,,,,,,,
April,,,,,1.24,1.41,0.57,3.9,2.48,2.1,1.55,2.03,0.05,,,,,,,
May,,,,,2.3,0.88,1.22,1.84,1.98,1.44,1.88,2.1,1.37,,,,,,,
June,,,,,1.4,4.88,2.74,2.01,2.65,3.47,1.63,2.31,3.31,,,,,,,
July,,,,,1.13,0.68,0.53,1.5,2.68,2.84,3.55,0.53,1.19,,,,,,,
August,,,,,1.74,2.58,0.56,2.36,4.09,2.3,2.72,1.06,5.98,,,,,,,
September,,,,,1.41,2.13,1.6,0.6,1.5,3.74,0.8,1.17,3.11,,,,,,,
October,,,,,2.15,1.33,3.56,5.06,2.19,4.75,3.52,3.25,2.8,,,,,,,
November,,,,,1.46,3.93,4.43,2.32,0.84,0.82,3.3,4.01,2.3,,,,,,,
December,,,,,2.55,0.67,1.75,3.68,2.58,3.25,4.35,6.99,3.02,,,,,,,
Total,,,,,24.27,24.12,24.74,26.7,26.69,30.37,30.81,27.51,32.07,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Hill Field. Altitudes match.,,,,,,,,,,,,,,,,,,,,
