DUNDEE  (HERMON HILL),,,,,,,,,,,,,,,,,,,,
Grid ref,NO 39437 29799,Long,-2.984266,Lat,56.456433,Elevation,110,ft,,,,,,,,,,,,
Station no,RR2980,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,2.2,2.49,3.1,7.62,3.81,4.07,2.44,1.1,,,,,,,,
February,,,,,2.6,3.49,2.71,0.95,1.42,1.53,2.43,4.22,,,,,,,,
March,,,,,2.52,1.5,3.31,2.26,1.83,1.38,0.8,0.89,,,,,,,,
April,,,,,0.9,0.86,0.98,2.9,3.44,1.51,0.4,5.49,,,,,,,,
May,,,,,1.88,1.85,1.12,2.1,1.84,1.11,1.21,0.89,,,,,,,,
June,,,,,1.9,0.06,1.4,1.6,0.51,2.94,1.8,1.8,,,,,,,,
July,,,,,2.6,4.45,3.15,7.78,0.52,0.84,1.26,3.79,,,,,,,,
August,,,,,0.98,3.1,3.15,2.16,5.76,1.1,1.83,1.79,,,,,,,,
September,,,,,3.4,0.55,3.1,1.63,5.31,6.16,2.67,2.07,,,,,,,,
October,,,,,6.26,6.1,1.8,2.51,1.6,2.76,3.3,3.84,,,,,,,,
November,,,,,3.1,3.25,1.7,0.24,1.79,0.71,1.81,2.7,,,,,,,,
December,,,,,4.25,2.2,3.27,1,5.2,2.08,4.14,1.41,,,,,,,,
Total,,,,,32.59,29.9,28.79,32.75,33.03,26.19,24.09,29.99,,,,,,,,
