DUNDEE (CONSTITUTION ROAD),,,,,,,,,,,,,,,,,,,,
Grid ref,NO 39895 30691,Long,-2.977034,Lat,56.46451,Elevation,100,ft,,,,,,,,,,,,
Station no,RR2980,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,4.35,2.9,1.2,3.32,2.25,1.21,1.76,3.75,1.51,5.24,3.21,,,,,,
February,,,,1.94,0.41,1.25,3.71,0.76,0.92,1.54,1.28,1.6,2,0.45,,,,,,
March,,,,1.72,1.25,2.71,0.24,3.82,1.16,2,1.93,1.8,2.9,1.35,,,,,,
April,,,,1.25,0.26,0.91,3.06,3.74,1.4,2.4,0.33,0.6,1.76,1.45,,,,,,
May,,,,1.01,3,1.7,2.94,1.93,1.8,0.26,1.1,1.6,3.92,1.6,,,,,,
June,,,,3.56,2.6,1.96,3.6,2.55,3.37,3.1,5.65,1.8,4.5,3,,,,,,
July,,,,3.5,2.76,2.6,1.95,1.45,3.6,2.46,3.1,2.9,3.53,0.1,,,,,,
August,,,,3.4,1.3,4.49,4.4,1.7,2.8,1.4,3,4.9,2.03,4.85,,,,,,
September,,,,1.4,1.1,0.45,5.75,4.27,2.34,1.4,0.85,4.85,1.65,3.15,,,,,,
October,,,,5.9,1.85,2.64,1.55,1.78,2.88,2.6,2,2.15,2.05,2.1,,,,,,
November,,,,2,5,1.03,2.08,2.2,2.45,3,5.2,3.4,0.88,2.1,,,,,,
December,,,,1.75,1.88,1.85,2.66,1.08,3.62,1.9,6.52,1.6,2.8,1.95,,,,,,
Total,,,,31.78,24.31,22.79,35.26,27.53,27.55,23.82,34.71,28.71,33.26,25.31,,,,,,
