BRISTOL-PARK-ROW-ENGINEERS-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,ST583731,Long,-2.6015431,Lat,51.455334,Elevation,140,ft,,,,,,,,,,,,
Station no,RR6985,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,,,,5.27,1.13,2.86,3.88,1.66,3.21,4.37,,,
February,,,,,,,,,,,1.13,2.71,0.53,0.92,1.74,2.96,4.7,,,
March,,,,,,,,,,,2.64,3.09,4.88,0.94,2.41,1.12,2.08,,,
April,,,,,,,,,,,2.1,0.32,2.97,1.62,1.56,0.7,1.6,,,
May,,,,,,,,,,,3,1.28,3.24,2.29,0.7,2.11,0.59,,,
June,,,,,,,,,,,7.16,3.66,2.64,4.36,2.06,1.53,2.56,,,
July,,,,,,,,,,,2.21,4.46,2.44,0.45,0.94,3.03,3.3,,,
August,,,,,,,,,,,5.44,2.51,1.42,4.08,0.88,8.46,3.2,,,
September,,,,,,,,,,3.85,2.49,3.68,2.36,3.28,3.56,0.05,7.58,,,
October,,,,,,,,,,2.1,2.77,2.08,5.02,4.92,1.98,4.67,1.75,,,
November,,,,,,,,,,3.02,2.63,4.59,1.48,2.98,2.36,3.25,2.17,,,
December,,,,,,,,,,3.61,3.44,1.42,2.11,1.17,2.08,2.73,,,,
Total,,,,,,,,,,,40.28,30.93,31.95,30.89,21.93,33.82,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1859 Sep-Dec values added from notes on TYR,,,,,,,,,,,,,,,,,,,,
