Rainfall at,SANDAY START POINT,
Grid ref,HY787435,Long,-2.375496,Lat,59.277455
Station no,5828,
,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,4.78,3.50,2.40,3.14,2.65,3.49,2.64,4.49,2.21,2.64,
February,6.62,2.30,1.70,4.59,3.83,2.83,4.83,2.67,3.32,2.13,
March,1.10,2.30,3.40,2.60,1.77,3.34,1.38,1.39,3.53,1.94,
April,1.70,2.60,1.80,2.75,3.49,1.21,1.27,1.10,1.37,1.57,
May,1.75,1.47,1.22,0.85,0.95,0.77,1.63,0.85,1.61,1.47,
June,0.70,2.30,2.10,0.96,0.65,0.80,0.08,3.50,2.00,1.07,
July,3.10,1.50,1.50,2.93,0.50,2.10,1.22,1.56,1.22,1.45,
August,1.50,4.00,1.90,2.90,1.87,2.08,2.58,2.02,1.25,3.34,
September,2.80,1.90,1.60,2.58,2.12,1.65,2.00,1.25,2.77,1.96,
October,3.10,5.80,2.90,3.70,3.45,3.66,3.31,2.89,1.84,5.58,
November,2.70,2.20,2.70,3.83,2.24,2.89,2.91,2.91,3.58,5.16,
December,3.40,5.40,4.12,2.25,4.70,1.41,4.52,2.08,5.06,4.90,
Total,33.25,35.27,27.34,33.08,28.22,26.23,28.37,26.71,29.76,33.21,
Calc annual,33.25,35.27,27.34,33.08,28.22,26.23,28.37,26.71,29.76,33.21,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,
