SANDAY (START POINT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,HY787435,Long,-2.375496,Lat,59.277455,Elevation,27,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,1.94,1.35,2.37,3.96,0.57,2.57,2.1,2.1,5.55,6.7,2.25,4.36,8.46,3.87,3.17,5.62,2.39,3.7,3.4,1.6,0.75,1.05,2.07,3.57,4.58,1.2,5.65,5.35,3.18,2.03,2.5,2.1,4.55,2.8,4.3,5,3.15,3.7,3.75,5.9,4.78,3.5,2.4,3.14,2.65,3.49,2.64,4.49,2.21,2.64,4.73,3.8,3.37,2.91,3.69,3.54,6.01,4.22,2.22,2.35,3.88,5.56,4,4.57,3.64,2.39,2.33,4.14,6.3,2.29,4.64,3.76,4.17,2.81,2.72,3.99,3.88,7.92,5.63,4.02,1.1,1.78,5.81,2.98,5.24,5.95,2.64,4.34,4.55,6.43,4.16,4.1,3.31,4.68,2.64,2.33,5.57,4.56,4.26,4.54,3.29
February,1.01,0.85,1.18,1.81,1.35,1.56,2.74,2.9,8,3.4,2.96,5.11,4.53,2.3,1.73,1.21,1.47,3.38,0.5,1.78,3.86,3.72,2.74,3.78,1.1,2.38,1.4,1.55,1.84,2.79,1.45,0.78,3.45,2.6,3.2,0.25,2.3,2.3,6.8,2.8,6.62,2.3,1.7,4.59,3.83,2.83,4.83,2.67,3.32,2.13,2.75,2.5,2.13,2.43,2.42,3.83,2.75,1.81,3.9,1.3,3.74,1.51,2.31,3.71,2.76,3.91,1.82,2.04,4.47,1.83,1.19,4.99,0.62,3.23,2.69,4.5,2.42,4.31,2.14,5.16,1.71,2.15,3.27,3.75,2.94,4.75,3.18,1.1,2.29,3.99,4.66,4.88,2.5,2.99,3.7,3.08,1.34,3.64,3.73,1.16,5.27
March,2.38,4.27,0.68,1.76,2.24,1.89,1.91,1.6,5,2.82,0.89,1.6,2.9,3.34,3.7,2.3,4.37,2.92,2.55,2.91,2.2,3,3.64,1.98,3.2,3.75,1.85,0.6,2.09,1.87,3.6,2.45,1.15,1.1,2.2,1.75,3.85,4.4,5.1,3.7,1.1,2.3,3.4,2.6,1.77,3.34,1.38,1.39,3.53,1.94,1.45,2.65,2.48,3.05,3.7,1.27,2.4,4.03,2.13,2.07,3.94,4.44,2.64,0.95,1.93,2.46,2.25,1.74,2.22,0.6,2.46,1.03,3.4,1.67,2.46,5.02,1.64,3.03,3.42,3.18,3.55,0.4,1.35,2.02,2.24,4.97,1.87,1.47,2.66,3.79,3.29,4.08,4.68,1.72,2.91,2.68,2.29,4.29,2.31,1.06,1.18
April,0.83,0.47,2.04,1.92,0.62,0.61,0.7,3.9,5.15,2.43,2.5,1.59,2.62,2.78,3.47,3.18,1.71,1.33,0.23,1.39,2.05,0.9,1.6,2.15,0.75,0.85,0.9,2.4,1.7,0.79,0.4,0.1,1.2,0.2,0,2.35,1.7,2.2,3.7,5.5,1.7,2.6,1.8,2.75,3.49,1.21,1.27,1.1,1.37,1.57,3.72,1.77,2.58,1.82,1.93,2.08,3.46,2.52,1.19,3.45,1.8,1.43,2.58,2.38,2.47,2.11,2.06,5.9,1.35,1.59,2.29,2.27,4.52,1.59,4.13,2.05,1.19,0.87,1.42,1.58,2.38,1.59,1.07,2.64,2.61,2.28,4.63,2.79,1.79,2.28,2.89,3.3,1.32,2.39,1.53,2.23,1.61,1.79,1.61,2.48,2.92
May,2.03,2.13,2.47,1.54,1.52,1.12,2.15,0.4,1.85,1.1,1.85,1.2,2.39,1.27,1.59,2.53,1.44,1.94,0.92,2.19,1.22,1.65,1.15,1.95,2.95,1.6,1.55,0.9,1.29,0.33,0.61,2.72,2.85,0.6,1.4,1.05,1.6,2.1,2.1,2.61,1.75,1.47,1.22,0.85,0.95,0.77,1.63,0.85,1.61,1.47,1.64,1.07,3.47,1.85,3.22,0.91,2.46,1.09,0.7,0.66,2.32,2.04,2.3,3.09,1.22,1.94,2.01,1.7,1.19,1.12,1.82,1.43,1.33,0.67,2.29,0.7,0.75,0.44,2.52,0.24,1.07,1.51,1.94,3.15,2.34,3,1.43,0.66,2.42,1.53,0.79,0.16,2.92,2.68,2.39,1.41,2.36,2.11,3.09,1.91,1.45
June,1.18,0.75,1.24,0.9,1.15,0.9,1.21,0.8,2.2,1.5,1.35,0.4,5.6,1.97,2.39,0.84,0.8,2.97,1.12,0.37,0.34,1.34,4.07,0,0.65,1.3,0.85,1.5,0.84,0.25,1.81,0.5,1,0.2,0.9,2.65,2.95,1.25,2.1,2.5,0.7,2.3,2.1,0.96,0.65,0.8,0.08,3.5,2,1.07,0.2,1.23,1.54,2.41,0.78,0.72,3.76,1.72,2.67,2.84,0.51,1.55,1.45,1.39,1.87,1.36,1.53,2.76,1.93,1.79,3.03,2.14,0.88,1.12,1.29,1.09,0.63,3.6,4.13,1.26,0.9,0.43,1.52,1.34,2.14,3.6,2.44,1.62,1.37,1.5,3.33,1.36,2.85,1.42,3.62,0.91,2.29,2.07,0.88,2.17,3.04
July,0.65,2.54,1.6,0.44,1.06,1.11,1.42,2.25,1.5,2.6,0.95,1.13,2.63,3.8,2.25,3.57,2.91,2.2,1.92,1.89,2.05,2.82,1.49,1.8,2.41,1.15,3.3,2.1,1.3,1.45,6.35,7.4,0.77,1.9,2.6,1.25,3.35,1.45,1.55,2.3,3.1,1.5,1.5,2.93,0.5,2.1,1.22,1.56,1.22,1.45,0.58,2.02,1.69,0.55,1.89,0.85,1.88,0.52,3.37,1.36,2.23,1.84,2.61,3,1.45,2.41,1.49,1.49,2.42,1.38,3.56,3.35,2.16,1.01,2.82,2.85,4.74,1.73,2.17,3.52,3.61,3.69,1.91,2.55,1.12,2.2,3.11,1.43,1.83,1.17,2.71,2.5,1.37,2.32,2.22,0.91,3.84,4.1,2.61,1.82,1.69
August,2.14,5.45,0.73,2.46,3.22,1.75,0.85,3.35,10,2.11,1.2,5.75,3.7,4.36,5.49,3.11,1.77,2.51,1.39,3.68,0.27,0.95,2.13,3,1.7,0.55,0.45,1.6,1.97,6.92,2,1.9,2.75,2.5,3.05,1.95,2.75,2.75,3.45,1,1.5,4,1.9,2.9,1.87,2.08,2.58,2.02,1.25,3.34,2.94,1.59,4.9,0.92,1.66,1.37,0.85,2.37,4.1,5.45,1.16,2.28,1.87,4.42,1.59,1.76,3.27,0.3,1.84,4.29,4.8,0.3,2.68,2.21,3.27,3.83,2.16,1.7,2.33,1.55,3,2.51,1.85,3.05,1.48,2.45,2.67,0.26,2.83,2.75,2.22,5.04,3.91,3.11,1.76,0.83,1.81,4.09,3.03,1.87,2.6
September,2.22,2.29,1.46,2.31,2.54,1.6,1.9,4.7,3.9,7.37,3.25,4.44,3.2,3.72,6.51,3.7,2.64,0.72,4.41,2.18,3.2,0.58,3.76,4.33,1.4,2.35,1,2.15,1.57,2.02,2.4,2.08,3.3,4.3,0.45,3.85,6.5,4.9,3.15,4.8,2.8,1.9,1.6,2.58,2.12,1.65,2,1.25,2.77,1.96,1.25,1.97,0.96,1.21,3,2.63,1.46,4.58,4.95,3.59,3.47,2.18,2.67,3.2,2.99,3.23,3.72,2.94,2.11,4.41,3.38,0.93,4.11,1.98,3.39,4.17,3.25,3.14,1.78,1.19,4.81,2.01,3.59,3.85,3.06,3.5,2.42,5.98,4.01,2.58,4.76,1.52,3.9,3.46,4.12,3.12,2.18,3.2,1.75,0.86,2.2
October,5.03,3.06,5.82,2.29,3.52,2.38,1,7.55,6.4,3.8,2.32,3.67,5.3,6.92,4.25,2.53,5,1.59,3.12,3.22,3.6,2.2,3.05,3.17,3.71,3.8,1.15,1.61,5.12,3.19,5.09,1.63,4.4,5.92,2.75,5.4,6.5,3.7,4.2,4.9,3.1,5.8,2.9,3.7,3.45,3.66,3.31,2.89,1.84,5.58,1.03,1.79,3.69,2.57,2.24,1.6,5.44,8.2,2.35,2.44,0.5,3.28,1.38,4.02,2.82,3.9,6.45,5.42,3.77,6.44,4.68,4.31,3.46,2.58,5.83,7.04,4.21,2.68,6.26,1.05,2.07,2.8,4.06,1.29,3.71,3.2,0.82,2.85,4.66,3.65,4,2.15,3.69,2.77,5.16,4.24,4.9,4.87,4.31,5.24,2.74
November,2.01,3.9,2.46,1.56,2.55,2.2,5.25,2.1,2.6,6.53,5.04,4.67,4.26,4.81,4.27,3.1,4.26,4.96,3.39,3.46,2.65,2.6,4.58,3.1,3.5,1.78,1.75,2.6,3.3,2.45,5.74,1.2,2.85,6.7,2,2.7,3.3,4.4,5.28,5.4,2.7,2.2,2.7,3.83,2.24,2.89,2.91,2.91,3.58,5.16,4.95,4.34,3.98,4.07,4.08,3.62,4.78,5.29,2.35,4.14,5.35,2.79,3.45,5.91,3.14,2.46,4.32,5.67,5.17,5.48,4.91,2.91,3.43,2.44,3.24,5.15,3.19,1.89,5.38,5.52,3.33,4.31,1.79,4.4,4.3,1.41,5.06,4.86,2.84,5.27,3.87,6.98,3.21,5.53,5.27,2.31,3.12,3.45,1.81,4.5,4.24
December,1.59,2.24,3.49,4.34,3.58,1.14,4.03,5,9.65,3.75,5.2,4.72,5.1,4.69,3.96,3.1,4.81,2.9,3.92,1.26,4.3,3.52,5.2,2.95,2.53,2,4.15,2.65,1.45,3.04,0.55,3.75,2.75,3.45,4.25,3.8,5.2,6.35,7,5.9,3.4,5.4,4.12,2.25,4.7,1.41,4.52,2.08,5.06,4.9,4.58,4.59,3.51,4.15,4.53,6.75,4.58,4.32,5.5,5.97,2.55,6.62,3.11,4.13,3.15,2.97,4.24,1.74,4.27,7.15,4.95,5.44,2.12,2.53,4.88,4.91,3.1,2.86,4.32,3.42,3.32,4.13,5.67,3.41,4.54,6.07,6.44,3.2,4.14,5.16,3.72,5.6,3.77,3.11,5.78,6.41,5.6,4.66,6.02,6.19,4.09
Total,23.01,29.3,25.54,25.29,23.92,18.83,25.26,36.65,61.8,44.11,29.76,38.64,50.69,43.83,42.78,34.79,33.57,31.12,26.87,25.93,26.49,24.33,35.48,31.78,28.48,22.71,24,25.01,25.65,27.13,32.5,26.61,31.02,32.27,27.1,32,43.15,39.5,48.18,47.31,33.25,35.27,27.34,33.08,28.22,26.23,28.37,26.71,29.76,33.21,29.82,29.32,34.3,27.94,33.14,29.17,39.83,40.67,35.43,35.62,31.45,35.52,30.37,40.77,29.03,30.9,35.49,35.84,37.04,38.37,41.71,32.86,32.88,23.84,39.01,45.3,31.16,34.17,41.5,31.69,30.85,27.31,33.83,34.43,35.72,43.38,36.71,30.56,35.39,40.1,40.4,41.67,37.43,36.18,41.1,30.46,36.91,42.83,35.41,33.8,34.71
