GARLIESTOWN GALLOWAY HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX477455,Long,-4.36967,Lat,54.781225,Elevation,20,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5009/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,
January,,0.6,2.97,5.22,6.1,3.32,3.8,3.53,3.01,2.12,4.68,1.95,3.77,1.65,3.97,2.06,2.51,2.39,2.74,4.34,6.17,3.46,2.71,6.19,3.19,2,4,2.25,3.77,2.88,2.85,2.64,4.54,4.96,2.5,3.49,3.06,2.12,,3.54,,,,,,,,,,,,,3.1,3.76,4.44,1.89,5.4,3.28,5.14,4.95,3.69,1.97,7.41,5.82,4.32,3.27,6.29,4.59,8.36,2.26,2.21,4.81,4.08,2.1,4.07,3.3,3.77,4.47,5.16,2,4.93,,,,,,,,,,,,,,,,,,,,,
February,,5.71,3.32,5.02,5.07,4.35,2.41,1.09,1.03,2.8,1,0.38,1.15,4.68,4.68,1.27,1.96,2.67,3.57,2.2,3.86,1.67,3.85,3.46,4.31,2.79,2.75,3.05,3.08,2.88,5.28,4.03,3.35,1.79,3.6,4.44,3.3,1.38,,0.83,,,,,,,,,,,,,0.06,4.05,0.37,3.85,2.46,6.74,1.81,4.44,1.96,3.57,2.26,2.76,1.69,5.08,2.59,0.7,2.61,2.22,4.47,2.79,0.83,1.22,4.23,2.68,0.91,3.24,4.5,1.41,4.56,,,,,,,,,,,,,,,,,,,,,
March,,6.01,3.18,2.29,3.38,3.4,3.82,1.52,2.64,2.69,2.39,1.94,0.83,1.84,1.86,3.22,4.58,5.93,0.92,2.17,0.48,2.36,2.71,5.39,2.8,3.47,2.59,3.62,3.94,4.1,2.09,0.88,5.12,4.39,4.49,1.76,1.6,1.16,,3.09,,,,,,,,,,,,,2.98,2.74,2.87,1.19,3.61,1.13,1.47,3.1,4.31,3.39,4.04,0.81,0.58,1.86,3.12,6.1,3.17,2.31,3.74,3.66,2.51,0.6,3.39,2.92,2.23,4.18,1.37,3.14,2.39,,,,,,,,,,,,,,,,,,,,,
April,,1.37,4.33,2.08,1.81,4.77,1.28,1.67,1.68,1.66,1.23,2.08,0.94,1.42,2.32,2.68,1.84,2.82,2.96,3.81,2.64,3.62,1.56,1.32,2.39,2.26,1.29,2.77,2.8,3.99,3.17,2.59,1.01,2.73,1.51,1.85,2.21,2.15,,1.28,,,,,,,,,,,,,4,1.97,2.9,3.41,0.79,2.92,0.57,2.14,2.6,1.32,2.1,2.09,2.67,2.42,1.25,4.5,1.72,3.29,3.58,1.72,2.05,2.16,1.02,2.9,1.51,1.57,1.06,3.74,3.51,,,,,,,,,,,,,,,,,,,,,
May,,3.39,1.18,1.63,3.66,2.21,4.91,1.32,2.87,2.77,2.66,1.06,3.93,1.51,2.64,0.61,0.56,1.37,2.92,4.34,3.46,1.22,2.22,3.14,2.53,1.38,4.49,3.37,2.85,1.58,2.21,2.58,1.53,2.56,1.72,1.4,2.52,3.26,,2.07,,,,,,,,,,,,,3.21,1.97,4.06,0.5,3.35,2.03,3.98,0.88,1.22,3.31,3.56,4.01,2.62,3.29,1.44,4.57,1.83,1.12,1.3,2.16,1.72,2.77,3.22,3.59,1.72,3.46,3.42,1.91,2.34,,,,,,,,,,,,,,,,,,,,,
June,,3.74,3.22,2.34,0.59,0.98,1.18,0.41,2.28,1.23,3.59,1.59,3.52,1.4,3.92,1.01,4.55,5.61,1.71,2.83,2.55,2.79,1.71,2.28,1.48,2.37,1.33,5.57,1.99,2.96,2.04,2.23,5.54,1.6,0.38,0.9,2.01,1.05,,1.79,,,,,,,,,,,,,1.36,2.82,1.7,3.6,3.42,2.8,4.46,2.03,0.94,0.77,0.94,3.16,3.25,3.49,3.07,4.48,3.77,0.64,2.52,1.42,2.66,1.03,3.44,4.71,2.12,1.25,3.86,2.76,2.1,,,,,,,,,,,,,,,,,,,,,
July,,3.87,5.14,3.94,5.44,1.65,3,3.04,4.36,3.93,2.65,0.53,2.91,3.67,1.77,4.33,5.58,1.76,0.4,2.54,2.34,1.14,3.24,4.41,2.79,1.13,3.05,1.62,2.98,4.7,3.07,1.81,2.2,0.89,2.43,3.3,2.51,1.34,,0.39,,,,,,,,,,,,,2.88,3.08,2.12,1.53,6.18,4.48,4.92,3.44,4.32,2.94,3.03,2.83,3.4,3,3.04,4.23,3.71,2.85,2.65,2.01,2.6,4.71,3.95,1.77,4.97,4.68,3.36,2.82,4.26,,,,,,,,,,,,,,,,,,,,,
August,,3.48,4.34,5.32,1.82,2.13,3.02,1.33,2.83,3.81,3.55,5.92,5.64,4.1,3.92,6.75,2.09,4.6,6.44,1.87,5.53,3.84,2.4,5.52,4.45,4.92,4.56,4.59,3.93,1.54,6.5,1.79,4.86,1.37,2.88,0.93,2.07,3.68,,2.4,,,,,,,,,,,,,3.01,2.24,5.02,1.75,2.57,2.22,2.98,1.79,1,5.55,4.48,6.11,3.97,1.24,3.76,0.38,4.58,2.71,6.3,4.94,4.12,3.12,3.83,1.48,7.95,4.08,3.62,0.41,4.6,,,,,,,,,,,,,,,,,,,,,
September,,2.97,3.69,4.2,3.01,5.53,5.79,4.64,1.42,3.2,3.31,3.69,4.32,2.17,0.21,1.04,4.13,4.38,4.16,4.96,2.69,2.86,4.27,3.26,3.58,2.01,1.15,1.32,3.72,2.62,1.11,1.6,2.5,3.07,1.11,0.59,0.99,2.8,,2.16,,,,,,,,,,,,,4.62,0.78,6.11,5.19,5.05,2.79,3.81,3.17,3.07,1.96,4.3,2.85,5.28,3.11,7.12,3.9,6.56,2.27,8.78,4.6,3.02,5.74,5.14,2.44,4.45,4.94,6.01,1.83,4.1,,,,,,,,,,,,,,,,,,,,,
October,,2.77,4.62,4.09,3.55,4.23,5.1,1.23,1.74,2.48,2.25,5.64,3.4,3.4,6.71,4.17,3.67,2.33,3.14,2.21,6.08,7.36,2.11,8.87,2.13,3.33,6.11,8.32,2.25,7.29,3.19,3.34,4.36,2.84,1.44,2.84,6.58,6.48,,0.87,,,,,,,,,,,,,5.76,2.52,5.31,6.39,4.2,3.51,7.45,3.31,4.4,4.79,5.32,6.23,6.05,4.47,1.13,1.53,6.17,5.13,3.45,0.47,5.03,4.33,8.41,2.46,2.94,4.49,4.02,5.12,6.13,,,,,,,,,,,,,,,,,,,,,
