WEST-MEON-PUMPING-STATION,,,,,,,,,,
Grid ref,SU648242,Long,-1.0767,Lat,51.01424,Elevation,330,ft,,
Station no,697/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.11,3.03,5.03,3.59,4.39
February,,,,,,0.12,4.48,3.08,0.16,3.68
March,,,,,,0.64,2.43,1.87,3.46,2.29
April,,,,,,1.7,0.24,0.82,3.46,1.34
May,,,,,,0.25,1.26,2.51,0.65,1.13
June,,,,,,2.48,2.05,3.96,1.23,2.98
July,,,,,,3.16,5.18,2.17,3.1,4.67
August,,,,,,4.59,2.84,3.85,3.5,4.7
September,,,,,,4.26,3.61,5.07,0.09,5.15
October,,,,,,2.05,2.62,3.69,3.24,8.96
November,,,,,,1.07,3.49,2.83,4.19,6.3
December,,,,,,5.07,3.26,4.12,8.09,4.97
Total,,,,,,30.5,34.49,39,34.76,50.56
,,,,,,,,,,
1958 Jan Estimated possibly for snow,,,,,,,,,,
1958 Feb Inspection Slightly o/e S to E Recommended turf wall,,,,,,,,,,
Read monthly,,,,,,,,,,
,,,,,,,,,,
SRC_ID 7536,,,,,,,,,,
1956-1989,,,,,,,,,,
