WHITBY - GUISBOROUGH ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ886103,Long,-0.634,Lat,54.480,Elevation,184,ft,,,,,,,,,,,,,,,,,,,,
Station no,RR2412,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891
January,0.47,1.64,2.04,3.98,2.51,2.56,1.27,1.50,2.61,1.26,1.19,1.86,0.51,3.39,1.75,1.29,0.26,1.55,1.28,2.10,2.87,1.60,3.21,2.89,0.66,1.28,1.68,1.09
February,2.57,1.38,1.67,0.55,0.84,1.22,2.27,1.97,1.73,1.60,1.27,0.75,2.10,1.60,1.09,2.83,2.05,2.68,1.24,3.46,0.74,1.35,1.42,0.50,1.20,1.85,1.75,0.08
March,2.09,1.02,2.76,2.10,1.24,1.51,1.38,0.78,2.11,2.24,1.58,0.56,3.10,2.50,1.15,0.87,1.64,2.22,1.08,1.90,2.02,1.54,2.70,2.04,3.03,2.73,1.83,2.57
April,1.08,0.97,1.78,2.04,2.56,1.12,0.57,2.19,2.00,1.35,0.73,0.95,2.36,3.51,2.41,1.76,1.57,0.71,3.63,1.00,2.02,1.72,2.49,0.84,1.95,2.97,0.81,2.35
May,2.47,2.73,0.73,1.87,1.07,2.77,1.12,1.37,2.27,2.90,3.50,0.88,0.76,2.38,2.62,2.48,1.75,1.31,1.23,1.50,0.46,2.10,3.07,1.83,0.75,2.99,2.60,1.69
June,1.55,0.55,2.28,2.19,0.47,1.29,3.08,2.22,3.09,0.92,0.84,2.90,1.62,1.66,3.27,3.14,2.50,1.03,2.31,4.15,0.76,2.59,0.61,0.14,2.65,0.41,2.90,0.36
July,0.79,1.42,3.26,3.26,0.70,0.60,0.47,3.52,3.28,1.78,2.51,4.74,2.23,2.44,0.44,2.91,4.49,5.98,2.05,3.36,1.50,0.87,4.68,1.38,5.00,1.90,1.90,2.44
August,0.98,3.33,3.38,2.27,2.70,1.85,1.76,0.65,2.85,1.32,2.38,2.25,2.08,4.50,3.47,2.12,1.30,4.38,2.06,1.14,1.37,3.66,1.33,1.04,2.99,4.07,3.28,2.71
September,1.29,0.40,3.59,2.12,4.14,1.72,0.95,5.43,4.52,1.50,2.14,1.63,3.42,2.93,0.77,0.99,3.63,4.72,0.86,4.00,1.27,1.99,1.46,3.49,1.96,0.88,1.46,1.32
October,3.26,4.77,2.58,1.68,2.58,2.27,4.64,1.71,4.03,2.36,1.38,4.61,2.13,1.91,1.74,0.87,5.43,3.67,3.94,2.77,1.43,4.39,1.79,2.51,0.92,4.87,2.77,3.06
November,2.60,2.49,2.41,0.94,1.32,2.77,2.62,1.85,4.86,1.32,2.93,6.60,3.33,1.15,4.51,1.81,2.57,1.86,3.72,1.82,1.77,2.18,2.56,3.17,3.57,1.38,3.12,2.43
December,2.51,1.93,1.82,2.02,5.77,4.15,5.95,1.35,5.27,0.52,3.46,1.62,6.03,1.94,3.79,0.89,3.40,2.64,3.21,1.37,1.57,1.00,4.75,2.24,1.54,1.61,1.82,2.71
Total,21.66,22.63,28.30,25.02,25.90,23.83,26.08,24.54,38.62,19.07,23.91,29.35,29.67,29.91,27.01,21.96,30.59,32.75,26.61,28.57,17.78,24.99,30.07,22.07,26.22,26.94,25.92,22.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_05_pt1/191,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_08_pt3/062,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt2/054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The observer, Mr Simpson, lived at Stakesby Farm on Guisborough Road.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
