NANTWICH CHOLMONDELEY CASTLE CHESHIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ 535 512,Long,-2.695169,Lat,53.056685,Elevation,325,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,2.9,2.37,2.89,1.73,1.55,4.24,2.59,2.44,2.6,1.68,4.83,2.67,1.97,0.88,0.61,3,3.44,3.23,,,,,
February,,,,,,,,1.29,2.03,1.89,1.22,2.54,2.3,0.98,2.05,1.65,2.65,2.88,1.39,3.19,2.3,3.44,2.11,2.18,1.91,,,,,
March,,,,,,,,1.87,2.12,1.57,2.52,1.58,3.2,3.94,0.94,0.8,2.8,2.68,1.18,1.62,1.12,2.57,1.89,1.28,2.57,,,,,
April,,,,,,,,2.82,1.95,1.54,1.72,2.68,3.4,1,1.61,0.52,3.38,2.65,1.99,2.91,1.56,0.85,3.97,1.03,1.45,,,,,
May,,,,,,,,2.54,1.49,5.84,1.31,1.52,2.67,1.93,1.89,2.05,0.29,3.23,5.73,2.5,3.04,1.9,2.01,1.25,1.33,,,,,
June,,,,,,,3.59,1.71,0.55,1.01,1.7,3.18,6.59,2.01,0.4,2.93,3.43,3.63,4.08,5.77,3.88,2.63,4.75,3.08,2.49,,,,,
July,,,,,,,2.39,3.3,0.58,1.67,1.5,5.49,4.39,3.32,1.87,5.34,3.16,6.73,2,3.37,7.98,2.55,4.08,3.17,2.94,,,,,
August,,,,,,,4.47,1.39,3.53,2.33,1.54,1.29,3.3,4.12,3.2,3.05,3.47,5.6,5.5,7.38,2.12,4.95,3.27,1.73,2,,,,,
September,,,,,,,6.74,1.85,2.66,6.36,2.21,4.9,5.74,3.05,3.02,4.75,5.66,3.59,4,3,2.94,3.57,2.71,5.63,2.34,,,,,
October,,,,,,,1.51,5.12,2.68,2.7,5.44,3.97,7.49,3.23,2.91,5.18,2.53,2.79,3.5,1.29,6.03,3.72,4.9,4.34,1.39,,,,,
November,,,,,,,3.2,1.31,2.61,3.3,2.46,1.34,3.85,2.4,3.96,3.63,5.33,3.28,2.98,1.23,3.3,2.99,4.45,4.04,2.75,,,,,
December,,,,,,,2,2.91,6.93,3.13,2.86,1.69,4.51,1.14,3.07,1.06,5.11,3.2,3.48,1.2,5.87,3.38,4.55,1.18,2.33,,,,,
Total,,,,,,,,29.01,29.5,34.23,26.21,31.73,51.68,29.71,27.36,33.56,39.49,45.09,38.5,35.43,41.02,33.16,41.69,32.35,26.73,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation on Location sheets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
are incorrect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
