BRANSDALE NO. 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE619982,Long,-1.049,Lat,54.376,Elevation,739,ft,,,,,,,,,,,,,,,,,,
Station no,3465/7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959
January,2.94,4.21,6.00,5.74,3.19,7.19,-999.00,4.27,6.25,,2.10,-999.00,2.96,4.49,9.65,1.44,1.73,-999.00,3.46,2.18,3.47,2.75,-999.00,-999.00,4.62,3.60
February,5.77,4.36,4.90,6.27,2.41,2.52,-999.00,5.42,3.00,1.00,3.89,-999.00,1.81,4.50,2.22,0.99,4.69,4.30,2.56,4.56,4.18,-999.00,-999.00,4.85,5.20,0.61
March,4.34,1.18,1.54,4.93,0.30,4.76,2.58,3.50,2.75,0.31,1.63,-999.00,1.69,6.00,1.54,2.32,1.54,3.36,3.46,0.14,4.87,-999.00,1.16,2.70,4.00,1.80
April,4.55,5.21,2.67,3.44,0.28,1.42,3.01,,,1.19,1.96,-999.00,2.10,4.28,1.48,2.96,3.20,3.84,2.18,3.68,0.42,1.87,1.65,1.24,2.00,3.69
May,1.44,1.94,1.65,2.50,4.57,3.17,1.20,2.25,2.82,3.18,1.75,3.16,3.12,2.20,1.39,1.79,1.94,4.45,-999.00,4.22,6.22,,0.76,,3.60,0.77
June,1.95,3.39,4.33,2.56,2.28,3.50,1.35,0.94,1.80,1.70,,,3.52,2.62,8.76,1.04,2.10,1.86,-999.00,1.46,2.30,4.15,5.86,2.00,3.20,1.64
July,4.43,0.40,5.14,2.24,3.27,3.71,8.79,2.07,,1.01,3.78,,4.16,2.23,1.78,2.45,4.20,2.75,1.43,3.36,2.56,,-999.00,5.00,3.00,2.44
August,3.19,2.85,3.50,2.05,4.25,4.02,2.27,3.96,2.76,3.41,4.87,5.64,5.68,0.14,3.84,3.33,6.08,7.21,3.66,3.08,9.15,0.86,-999.00,,3.00,
September,2.07,5.82,4.16,1.76,3.50,2.40,2.82,0.85,,4.21,7.48,2.44,5.54,1.72,1.88,0.70,4.00,1.87,-999.00,3.56,2.45,2.36,3.60,5.00,3.30,
October,3.83,4.78,2.21,3.22,5.47,7.84,4.26,5.52,3.44,,5.52,3.51,1.82,0.59,1.18,3.64,2.55,1.86,-999.00,3.20,5.46,3.26,-999.00,3.00,2.50,
November,3.72,5.85,4.63,4.85,4.04,3.60,6.50,4.25,1.56,5.70,5.99,1.74,7.58,3.41,0.93,7.43,6.55,7.75,4.47,3.29,7.65,3.76,-999.00,3.00,1.14,
December,6.37,3.99,2.67,7.53,6.79,2.74,4.02,1.08,3.55,1.98,2.42,2.85,5.32,2.84,4.46,4.15,-999.00,4.34,3.65,2.16,2.64,5.21,-999.00,3.00,4.14,
Total,44.60,43.98,43.40,47.09,40.35,46.87,43.21,,,,,,45.30,35.02,39.11,32.24,42.58,45.89,41.70,34.89,51.37,,47.29,,39.70,
,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_20_pt1/031,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/213,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_22_pt1/037,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
# Readings for the following periods are apportioned:,,,,,,,,,,,,,,,,,,,,,,,,,,
# - January-February 1940,,,,,,,,,,,,,,,,,,,,,,,,,,
# - January-April 1945,,,,,,,,,,,,,,,,,,,,,,,,,,
# - December 1950-January 1951,,,,,,,,,,,,,,,,,,,,,,,,,,
"# - May-June 1952, September-October 1952",,,,,,,,,,,,,,,,,,,,,,,,,,
# - February-March 1955,,,,,,,,,,,,,,,,,,,,,,,,,,
"# - January-February 1956, July-August 1956, October-November 1956",,,,,,,,,,,,,,,,,,,,,,,,,,
# - December 1956-January 1957,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,
# The following readings are estimates and have been omitted:,,,,,,,,,,,,,,,,,,,,,,,,,,
# - April 1941,,,,,,,,,,,,,,,,,,,,,,,,,,
"# - April, July and September 1942",,,,,,,,,,,,,,,,,,,,,,,,,,
# - January and October 1943,,,,,,,,,,,,,,,,,,,,,,,,,,
# - June 1944,,,,,,,,,,,,,,,,,,,,,,,,,,
# - June and July 1945,,,,,,,,,,,,,,,,,,,,,,,,,,
# - May and July 1955,,,,,,,,,,,,,,,,,,,,,,,,,,
# - May and August 1957,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,
# The reading for February 1941 is estimated for snow and has been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,
# The readings for January-March 1942 are part-estimated for snow and have been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,
# The readings for February-March 1947 are estimated for snow and have been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,
# The reading for January 1950 is part estimated and has been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The 1950s sheet gives the location as Cockayne Lodge, which seems to be Bransdale Lodge on the map.",,,,,,,,,,,,,,,,,,,,,,,,,,
"# The original grid reference on the 1950s sheet has been used, as this is a better match for the elevation and church directions provided.",,,,,,,,,,,,,,,,,,,,,,,,,,
