"BRANSDALE NO. 3",,,,,,,,,,,,
Grid ref,SE616984,Long,-1.053175,Lat,54.377385,,,,,,,
Station no,RR3063,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.30,3.46,2.18,3.47,2.75,6.03,2.75,4.62,3.60,,,
February,4.30,2.56,4.56,4.18,4.80,4.28,4.85,5.20,0.61,,,
March,3.36,3.46,0.14,4.87,3.36,1.16,2.70,4.00,1.80,,,
April,3.84,2.18,3.68,0.42,1.87,1.65,1.24,2.00,3.69,,,
May,4.45,1.49,4.22,6.22,2.30,0.76,1.80,3.60,0.77,,,
June,1.86,2.67,1.46,2.30,4.15,5.86,2.00,3.20,1.64,,,
July,2.75,1.43,3.36,2.56,1.60,4.48,5.00,3.00,2.44,,,
August,7.21,3.66,3.08,9.15,0.86,9.13,4.50,3.00,,,,
September,1.87,6.76,3.56,2.45,2.36,3.60,5.00,3.30,,,,
October,1.86,5.91,3.20,5.46,3.26,2.79,3.00,2.50,,,,
November,7.75,4.47,3.29,7.65,3.76,4.00,3.00,1.14,,,,
December,4.34,3.65,2.16,2.64,5.21,3.55,3.00,4.14,,,,
Total,45.89,41.70,34.89,51.37,36.28,47.29,38.84,39.70,,,,
Calc annual,45.89,41.70,34.89,51.37,36.28,47.29,38.84,39.70,14.55,0.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
