GRINDLEFORD (THE GRANGE),,,,,,,,,,,,
Grid ref,SK242779,Long,-1.638370,Lat,53.297507,,,,,,,
Station no,2684/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,3.93,3.84,6.54,2.13,3.84,3.14,5.60,,
February,,,,3.30,2.72,0.98,3.07,5.47,0.13,2.75,,
March,,,,2.68,3.27,1.20,2.83,2.62,1.79,2.28,,
April,,,,0.61,1.37,1.74,0.13,1.42,3.65,1.72,,
May,,,,3.46,4.23,0.67,1.68,3.25,1.14,1.73,,
June,,,,2.18,3.08,3.57,1.42,4.65,1.53,1.29,,
July,,,,3.20,0.99,4.31,3.65,5.71,2.08,3.80,,
August,,,,5.80,0.86,5.00,6.35,2.28,0.65,4.29,,
September,,,,3.78,1.35,3.71,5.45,3.20,0.02,4.33,,
October,,,,4.60,2.56,2.34,2.27,3.30,2.70,6.08,,
November,,,,6.18,2.28,1.66,2.56,0.71,4.84,4.95,,
December,,,,5.93,4.36,5.10,3.64,4.43,5.35,3.64,,
Total,,,,45.65,30.91,36.82,35.18,40.88,27.02,42.46,,
Calc annual,0.00,0.00,0.00,45.65,30.91,36.82,35.18,40.88,27.02,42.46,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
