BRADFORD CHELLOW DEAN RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE124345,Long,-1.813189,Lat,53.806649,Elevation,645,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,
January,,,,,,,1.06,5.22,4.11,1.46,0.29,0.38,4.37,4.39,6.25,1.71,6.77,2.13,1.12,1.51,4.63,1.94,2.04,1.01,4.65,4.72,1.31,2.91,2.46,5.92,5.12,2.29,1.58,2.73,2.74,0.82,3.72,1.06,1.89,1.64,5.15,1.51,6.76,4.81,2.6,5.25,2.84,2.6,3.23,4.69,4.55,6.56,4.46,2.36,2.9,4.38,3.96,2.98,8.21,2.07,5.66,2.93,3.18,2.41,2.93,1.68,5.09,4.28,5.05,5.97,2.52,3.32,3.22,4.71,4.99,3.46,4.04,3.45,7.89,1.65,2.21,3.1,4.31,0.6,2.95,2.4,5.68,2.9,3.79,3.36,6.32,,,,,,,,
February,,,,,,,3.03,2.92,1.63,3.44,3.27,4.93,2.43,2.36,2.76,3.24,0.82,0.57,1.12,2.15,0.98,0.04,2.72,3.8,6.55,0.61,1.33,3.65,3.26,2.49,5.83,1.63,1.62,3.24,3.6,0.99,2.01,1.71,2.44,0.92,3.67,3.91,2.44,1.34,2.84,4.72,5.71,0.66,5.04,2.08,3.33,0.11,4.13,6.09,1.21,6.15,3.1,1.67,4.57,0.79,1.24,4.02,0.42,5.47,0.19,5.01,2.83,5.57,1.74,3.67,2.66,5.22,1.71,2.16,1.68,3.94,4.36,4.56,2.98,2.25,6.2,3.55,0.77,2.72,4.2,2.7,1.65,3.39,5.79,0.38,3.27,,,,,,,,
March,,,,,,,4.16,3.05,1.15,1.73,3.38,4.45,3.5,1,2.12,2.16,3.83,1.79,4.61,3.04,2.61,1.31,1.21,0.95,3.11,3.32,4.8,5.22,1.76,1.8,1.1,2.54,1.72,4.37,2.3,1.93,1.81,1.97,2.88,3.64,0.77,1.65,5.23,4.94,4.01,1.1,4.95,3.38,1.77,5.58,3.02,2.5,2.76,2.15,1.4,1.2,1.46,3.25,3.11,0.31,3.2,0.53,2.18,2.25,2.91,1.74,2.86,3.2,0.53,2.85,2.33,4.72,2.64,1.12,0.37,0.84,1.42,7.78,1.38,1.22,1.5,3.87,1.81,1.45,2.87,2.71,1.3,2.21,2.2,1.6,2.17,,,,,,,,
April,,,,,,,2.78,3.61,1.87,2.63,2.02,1.67,4.42,3.36,1.46,1.98,2.64,0.97,3.04,3.32,1.01,1.86,1.51,0.85,2.98,2.69,2.07,2.63,3.52,2.85,1.76,2.29,2.14,1.35,1.47,1.92,0.97,1.54,1.93,3.16,2.76,1.38,0.75,3.82,1.6,1.41,1.92,2.46,0.94,2.03,4.82,1.27,3.93,2.52,2.29,3.71,1.45,2.57,1.06,1.3,4.67,3.77,3.62,1.84,3.13,4.49,2.05,2.59,0.31,1.36,3,2.71,1.93,2.16,3.52,2.32,1.5,3.2,2.39,2.9,2.84,1.9,1.92,2.52,0.53,1.05,3.4,0.25,0.89,3.79,1.73,,,,,,,,
May,,,,,,,0.68,2.72,5.36,1.49,2.37,1.94,1.14,0.9,1.72,2.74,5.76,2.06,1.12,2.68,2.72,2.79,3.11,2.4,1.72,0.42,0.61,1.22,2.7,3.56,1.45,1.17,2.78,2.84,2.98,0.63,2.97,2.67,2,2.44,2.39,1.06,3.37,2.8,1.18,2.1,2.74,2.8,3.71,2.19,4.35,1.76,1.11,3.77,4.86,4.59,2.89,1.21,1.79,1.75,1.8,2.76,4.51,2.86,2.19,0.89,1.31,3.14,4.16,1.19,0.57,2.56,4.06,2.71,1.8,3.37,2.1,4.17,1.18,2.37,2.25,4.61,1.78,1.82,3.15,2.7,1.3,1.25,4.3,1.28,1.42,,,,,,,,
June,,,,,,,2.54,1.76,3.36,5.78,2.48,2.37,3.97,3.7,1.33,3.72,1.11,0.05,2.15,0.62,3.36,1.39,3.96,2.6,3.02,3.15,4.94,4.14,2.61,1.96,3.65,0.97,1.74,1.2,1.62,2.21,2.17,3.61,1.3,2.71,3.5,3.43,6.69,1.59,3.19,1.31,2.17,2.04,1.49,0.93,2.23,0.03,1.46,0.91,2.47,0.13,2.79,3.05,6.69,1.05,2.14,5.7,0.64,1.64,1.82,3.71,4.63,2.38,3.49,2.55,0.39,0.5,1.29,2.46,2.12,2.86,2.4,2.41,3.15,0.43,0.58,1.2,1.95,2.97,1.68,2.2,2.38,1.52,6,2.27,1.05,,,,,,,,
July,,,,,,,2.11,4.24,1.69,4.26,5.24,4.44,3.88,3.7,4.61,1.18,4.93,1.67,5.86,2.9,2.33,2.41,2.22,6.47,3.63,6.07,2.18,1.09,1.11,2.22,5.4,1.82,2.76,3.33,2.46,1.25,1.99,2.74,3.42,3.65,3.17,0.21,5.33,0.84,3.36,5.15,1.91,1.3,6.21,3.13,7.75,1.7,4.5,3.43,3.73,1.26,2.69,3.7,0.76,2.05,5.85,2.83,4.7,2.27,2.6,0.75,3.29,2.59,4.18,6.15,2.96,1.5,2.28,1.77,3.58,1.93,3.5,1.55,1.3,2.79,3.14,2.59,1.25,3.46,2.15,1,4.97,3.04,4.27,2.58,4.47,,,,,,,,
August,,,,,,,2.52,5.09,6.64,3.91,1.76,4.4,1.77,2.56,1.08,1.32,1.29,2.14,2.88,5.02,4.14,5.68,3.1,2.26,3.51,3.78,1.78,3.56,3.78,1.76,5.97,1.98,3.56,3.47,3.7,4.13,3.09,2.1,2.39,2.83,4.3,2.22,6.32,1.35,2.45,4.92,2.32,6.52,1.96,2.65,1.69,4.23,6.06,3.96,3.85,4.31,3.12,6.66,4.32,2.46,4.59,4.45,1.17,0.79,2.18,1.23,2.22,1.16,4.82,1.57,0.7,4.22,3.9,3.63,2.96,4.72,4.93,0.15,3.74,3.8,4.9,5.12,3.72,3.21,8.12,0.9,7.24,5.92,2.38,0.65,4.79,,,,,,,,
September,,,,,,,3.57,3.93,4.12,1.68,3.85,2.99,2.27,7.75,1.81,4.26,2.3,4.05,0.56,0.46,1.74,2.43,2.21,2.02,0.81,1.65,6.02,3.81,0.71,5.22,0.75,1.36,1.79,4.04,0.68,1.61,0.58,0.64,2.73,2.99,0.19,3.05,2.13,1.92,1.69,0.66,1.99,1.1,9.38,1.33,1.6,1.24,4.29,3.57,3.83,2.97,2.12,4.21,0.57,0.75,6.35,4.25,3.52,1.92,1.86,5.99,4.04,1.43,2.05,1.35,3.22,0.54,1.96,3.77,5.34,1.62,6.55,1.65,1.38,0.83,4.89,2.26,2.96,3.27,3.95,1.45,3.85,4.3,3.78,0.15,4.26,,,,,,,,
October,,,,,,,3.31,4.1,3.6,1.28,4.42,4.37,4.5,4.15,1.59,6.17,6.05,2.32,0.87,3.42,1.42,4.38,7.67,2.73,6.41,3.63,4.74,2.01,5.39,3.36,4.68,1.97,3.78,9.28,0.76,2.32,4.89,4.74,1.78,3.14,3.7,4.09,4.24,3.05,2.32,1.8,7.05,6.52,2.3,2.49,3.14,2.36,0.92,3.74,3.71,4.06,3.51,3.75,5.48,3.98,4.25,1.53,5.3,4.01,3.39,7.93,3.33,2.39,7.59,2.65,4.58,4.47,3.99,2.41,3.87,5.81,0.73,1.06,1.32,3.5,1.8,1.46,4.2,2.21,6.59,2.38,1.78,3.76,3.12,4.08,6.36,,,,,,,,
