BRADFORD CHELLOW DEAN RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE124345,Long,-1.813189,Lat,53.806649,Elevation,650,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,5.22,4.84,4.65,0.77,4.98,2.1,1.83,3.39,4.84,0.82,2.01,7.12,1.26,2.34,6.1,1.76,2.32,2.63,3.44,1.4,4.86,4.51,2.42,3.02,1.01,4.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,5.35,1.81,2.96,1.13,3.78,1.19,0.59,1.92,1.5,4.55,1.12,1.23,1.9,0.86,6.21,1.98,4.13,5.35,2.45,3.46,2.8,0.25,0.82,0.69,2.93,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,0.65,1.04,1.42,0.47,0.44,3.21,0.84,0.67,2.8,6.04,4.01,1.12,3.34,0.25,1.12,1.56,3.7,1.12,1.87,1.12,3.39,3.02,3.34,0.28,4.03,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,0.11,2.92,0.51,1.05,3.81,2.8,2.56,5.08,1.51,1.38,2.07,1.16,1.77,1.07,1.53,3.27,1.77,1.69,0.54,4.62,3.72,0.15,1.49,0.8,2.68,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,1.25,1.08,2.5,1.06,4.44,1.72,2.28,0.2,2.26,0.51,4.05,1.16,1.88,2.23,1.04,2.86,1.36,6.66,1.71,1.63,1.83,2.46,0.93,1.42,0.66,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,4.72,3.83,2.73,3.25,3.78,2.62,2.71,4.04,5.84,1.58,2.08,3.25,1.4,0.68,3.84,0.82,0.89,0.48,1.92,3.78,5.76,1.1,1.69,3.81,2.4,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,2.05,2.54,2.45,2.89,1.71,2.29,1.89,2.49,2.64,4.07,2.62,1.33,0.41,1.08,4.89,3.32,0.83,0.25,0.61,2.93,4.69,3.89,2.92,4.76,2.11,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,2.35,2.61,1.9,2.45,4.68,4.74,1.19,2.02,4.51,1.72,2.59,3.49,1.15,4.69,3.11,2.21,3.32,1.73,1.95,1.42,3.59,2.42,3.11,1.55,2.55,4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,4.19,3.86,2.3,0.64,4.12,3.11,2.56,3.66,2.55,3.78,2.36,3.29,2.85,0.35,5.27,2.42,4.46,5.43,1.05,5.13,6.26,1.53,2.63,3.36,3.53,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,4.35,4.53,1.96,5.94,3.18,1.55,4.96,3.61,3.62,1.34,6.58,5.04,3.96,4.77,1.42,2.53,2.78,1.52,8.58,3.37,5.85,2.7,3.4,3.84,3.28,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
