RHODES WOOD RESERVOIR NEW GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK042981,Long,-1.937429,Lat,53.480057,Elevation,545,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2748/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,2.37,5.78,7.97,4.99,2.78,3.39,3.29,3.83,5.02,5.09,5.53,1.92,1.83,3.98,5.44,6.96,5.22,5.21,3.24,10.1,2.76,3.77,5.03,4.8,2.35,4.96,2.59,5.36,3.02,4.22,3.91,6.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,0.98,0.92,6.9,0.44,7.16,0.31,6.13,3.42,7.05,2.11,4.39,2.69,5.17,1.97,3.29,3.4,5.23,8.16,1.52,2.92,2.45,5.54,4.09,1.9,3.07,3.04,2.1,1.8,3.21,6.25,0.59,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,1.01,3.46,0.62,3.05,3.27,4.04,2.54,3.25,3.05,1.89,3.57,3.1,5.78,2.74,1.62,0.98,1.52,1.63,5.86,1.45,2.05,2.09,5.51,2.68,2.92,2.77,2.41,1.63,3.71,2.42,1.86,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,1.87,4.2,6.2,5.07,1.96,3.07,3.36,1.89,4.09,0.7,2.79,3.96,3.3,2.27,2.57,3.18,2.68,1.86,3.72,1.98,5.26,4.55,3.24,4.03,3.31,1.24,2.2,2.79,0.74,1.48,3.63,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,1.15,3.05,2.28,2.67,4.7,1.88,3.01,0.91,1.47,2.81,3.84,3.03,0.93,2.77,3.47,2.94,8.1,3.44,1.91,3.5,1.71,2.91,1.93,2.28,2.57,2.72,4.21,5.18,1.7,1.27,4.02,1.25,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,6.82,1.79,6.29,6.16,0.52,3.32,2.75,4.22,3.36,2.27,5.16,3.08,0.98,2.49,1.35,4.09,3.46,4.81,4.23,2.7,5.84,1.18,3.65,1.51,3.55,4.04,3.23,2.98,4.29,2.2,5.2,2.59,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,1.82,3.11,7.08,5,6.52,4.06,5.28,2.13,5.27,3.2,5.48,7.29,5.52,2.61,5.92,2.06,3.73,1.72,7.15,2.99,2.2,2.92,3.51,3.78,3.46,7.51,7.17,1.2,6.61,4.88,5.64,3.9,7.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,5.33,5.84,5.49,6.98,1.69,1.46,3.37,2.27,3.03,1.5,3.95,2.31,2.29,6.58,4.21,6.54,4.56,3.52,4.58,0.46,5.38,3.37,4.9,6.09,3.21,5.76,7.19,1.05,11.54,7.35,5.19,0.4,5.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,0.79,1.82,5.09,5.42,5.22,1.7,3.23,6.17,7.09,1.54,2.14,1.59,4.21,0.68,3.28,4.96,5.81,2.94,6.57,2.12,2.54,1.54,6.14,2.65,4.59,2.93,5.82,2.43,3.62,8.22,5.2,0.23,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,4.03,5.43,6.53,2.33,8.28,5.9,6.51,8.05,5.83,2.3,8.55,3.22,3.62,6.17,7.62,2.92,4.69,6.54,0.93,1.19,3.46,3.8,2.62,1.32,5.48,2.26,7.42,2.58,3.78,5.2,4.92,3.45,5.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
