RHODES WOOD RESERVOIR OLD GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK042981,Long,-1.937429,Lat,53.480057,Elevation,520,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,,,,1.07,2.75,4.5,2.33,2.26,4.32,0.39,3.23,6.1,1.79,4.1,4.6,4.42,4.15,3.21,2.6,1.24,4.73,3.07,4.15,4.06,2.32,6,6.16,1.5,0.78,0.65,4.13,5.5,6.7,2.55,6.16,1.96,2.27,2.35,4.33,3.61,4.78,2.1,3.47,3.8,2.08,2.07,3.31,5.01,5.25,2.41,3.44,3.27,3.94,3,4.88,2.07,3.94,2.53,5,1.94,4,3.75,4.33,7.45,4.15,4.36,3.44,5.03,6.93,7.42,3.75,5.28,3.24,3.53,4.52,5.19,10.78,2.48,6.14,8.14,5.04,2.81,,,,,,,,,
February,,,,,,1.45,3.74,1.66,0.21,3.15,1.2,3.68,0.96,1.67,4.86,3.62,5.03,5.05,4.3,6.73,1.61,3.97,4.42,1.1,2.02,1.11,4.73,5.77,1.5,3.16,4.3,5.73,3.8,2.5,2.65,3.07,0.73,1.2,1.4,2.81,1,0.62,3.48,6.46,5.96,0.67,2.85,2.94,3.85,1.18,3.53,2.4,1.08,3.8,4.7,2.61,3.48,2.44,3.48,3.28,4.36,4.93,1.27,1.4,2.57,5.2,5.97,0.86,6.26,2.04,4.65,0.47,5.8,5.3,1.48,6.95,3.72,1.87,5.7,1,0.86,6.87,0.45,7.13,,,,,,,,,
March,,,,,,2.68,0.31,2.71,2.01,5.8,5.5,6.83,4.1,1.47,3.04,2.12,2.27,2.11,6.6,2.11,3,1.21,3.32,2.66,4.66,0.72,5.15,4.05,3.2,1.88,3.57,5.58,3.37,0.89,2.25,2.6,2.8,1.82,3.15,4.74,5.8,2.38,1.52,1.24,3.89,3.96,6.37,4.05,3.27,2.64,0.94,3.09,2.67,4.84,3.02,4.49,3.82,3.6,3.82,3.16,0.89,2.94,5.16,5.17,5.9,2.12,2.91,2.57,1.42,7.2,3.26,3.35,2.81,2.19,1.26,2.44,2.56,6.21,1.8,1.09,3.48,0.63,3.06,3.27,,,,,,,,,
April,,,,,,1.82,3.24,3.35,3.07,4.52,1.27,1.4,3.59,2.22,1.43,1.51,2.25,6.37,3.08,2.81,2.53,4.51,4.5,1.07,1.82,1.77,2.91,2.53,2.3,2.2,2.35,1.33,4.56,2.04,2.19,2.38,2.72,1.73,3.15,3.28,1.4,2.29,1.8,0.9,1.9,2.19,2.13,3.58,2.69,4.38,2.61,2.95,2.41,2.7,2.76,3.6,2.5,3.38,2.9,3.23,4.98,3.12,1.46,3.86,1.57,1.69,3.5,2.55,2.03,3.51,5.58,1.99,3.62,3.07,1.94,2.63,2.36,5.85,1.41,1.98,4.04,6.21,5.15,1.95,,,,,,,,,
May,,,,,,2.68,3.45,1.53,3.61,0.29,4,1.36,5.18,2.44,3.49,2.59,2.58,2.74,1.69,4.19,1.94,2.59,3.55,2.82,2.9,2.23,1.55,4.55,3.8,3.13,2.53,4.06,1.59,1.66,2.21,2.9,8.52,2.8,1.15,2.2,3.4,3.88,5.7,3.13,3.35,1.14,0.78,2,4.15,2.95,1.3,1.28,3.3,2.47,2.83,0.88,3.88,3.6,2.88,2.07,3.23,2.74,3,3.08,3.15,1.63,3.65,2.68,3.84,1.91,6.81,1.81,1.58,4.9,5.42,3.84,4.83,1.48,1.14,3.07,2.21,2.64,4.69,1.87,,,,,,,,,
June,,,,,,3.63,2.8,3.83,5.51,3.34,8.65,2.67,4.34,3.87,4,1.06,5.3,2.33,0.58,1.59,2.93,4.18,6.7,2.9,1.28,3.05,3.73,3.31,3.2,5.6,3.15,2.28,7.23,5.16,1.86,3.91,1.8,0.45,2.81,0.72,3.95,2.55,3.73,2.48,4.08,3,4.46,3.84,3.09,1.94,4.31,1.94,1.35,2.1,1.02,3.69,1.64,6.46,2.03,3.65,3.9,4.16,4.6,2.96,3.83,1.94,4.81,1.72,2.15,2.32,3.5,0.44,2.84,1.44,2.72,0.08,4.36,5.88,6.9,1.73,6.2,6.21,0.46,3.34,,,,,,,,,
July,,,,,,4.58,4.87,5,3.08,1.95,2.95,4.93,5.55,1.81,1.94,3.58,5.71,6.38,0.68,1.15,2.69,4.7,4.98,4.64,2.4,4.58,4.21,5.59,0.7,5.77,6.68,4,5.67,4.05,3.86,2.3,4.11,1.65,6.72,3.3,4.47,4.46,3.72,3.47,3.93,8.32,2.52,2.39,1.34,2.53,4.95,3.03,2.57,3.91,2.09,3.01,3.3,2.78,6.51,6.5,6.1,0.47,5.2,1.46,4.01,5.88,3.33,2.83,4.75,3.05,7.55,1.71,4.98,4.78,4.27,2.61,3.1,2.56,2.03,2.98,7.11,5.02,6.47,3.99,,,,,,,,,
August,,,,,,3.55,8.86,8.4,7.51,7.1,6.02,3.39,2.59,5.9,3.2,5.66,6.62,3.6,3.58,3.78,2.26,1.78,4.25,5.05,5.65,3.53,4.24,6.25,5.6,6.57,1.78,5.35,4.03,4.33,2,1.83,2.53,1.61,3.71,6.9,5.22,7.91,4.95,3.86,5.71,4.18,3.29,3.81,6.08,3.82,6.11,2.41,3.25,4.84,4.57,4.44,4.16,4.75,3.41,3.18,5.37,4.08,8.86,2.25,3.4,4.53,2.64,5.66,3.82,3.47,2.7,5.06,6.09,4.92,6.01,3.72,5.69,5.15,5.53,6.24,5.51,7.5,1.69,1.47,,,,,,,,,
September,,,,,,1.05,6.14,3.76,3.73,7.1,2.77,5.76,5.61,6.21,4.44,0.73,7.02,3.29,3,7.73,3.11,5.15,7.81,3.25,3.7,5.97,4.74,4.05,5.75,2.8,6.43,2.51,3.1,7.72,3.11,4.04,3.17,4.19,2.04,4.38,1.66,4.42,4.3,4.76,0.79,1.56,6.92,5.15,0.6,7.45,1.52,0.69,1.26,5.02,1.35,3.12,1.68,0.73,3.37,3.07,0.32,3.51,2.79,2.52,3.01,1.5,3.6,3.04,11.47,2.1,2.93,1.27,4.84,4.68,3.86,4.39,3.94,7.48,0.8,1.93,5.02,5.52,5.27,1.7,,,,,,,,,
October,,,,,,9.15,3.33,2.35,5.95,4.15,5.43,1.3,6.4,7.38,3.27,7.1,2.7,4.64,5.92,4.08,11.07,4.94,5.84,5.75,4.12,5.95,2.58,4.35,3.63,3.45,6.82,5.27,5.24,6.96,3,9.03,6.38,3.06,1.88,5.39,4,5.96,8.23,3.28,5.75,4.45,6.04,2.24,5.06,3.97,5.23,3.95,5.61,9.2,1.95,4.36,5.55,6,0.95,6.46,3.1,2.95,3.8,2.95,3.18,2.02,6.52,6.6,3.37,3.69,1.15,2.6,0.98,4.05,5.68,4.84,4.82,4.21,4.26,5.77,6.59,2.33,8.35,5.93,,,,,,,,,
