BOLTBY - HIGH PARADISE,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE503888,Long,-1.229,Lat,54.292,Elevation,1050,ft,,,,,,,,,,,,,,
Station no,3435,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901
January,0.20,0.01,0.96,,3.46,2.61,1.29,2.49,0.12,1.17,3.05,,1.29,1.90,,4.47,0.85,1.13,0.32,2.09,2.23,0.90
February,2.44,3.67,1.13,,1.26,1.96,2.44,0.94,0.85,2.00,0.78,,1.89,0.71,,1.51,0.55,2.29,1.41,1.06,3.93,2.28
March,2.41,3.33,2.27,,3.03,1.94,2.74,1.62,4.92,2.74,2.81,,1.92,1.28,,3.51,2.60,2.62,1.71,1.14,1.12,1.66
April,2.72,1.59,5.66,,2.04,2.20,1.51,0.89,1.70,1.67,0.82,,2.79,0.61,,1.06,0.51,1.25,2.72,2.39,0.67,1.51
May,1.66,1.56,2.37,,0.85,2.48,3.44,1.74,1.43,2.18,2.32,,1.80,1.45,,0.71,0.66,1.51,1.05,3.51,0.61,1.02
June,3.27,2.28,4.60,,0.94,2.15,0.73,0.24,1.36,0.14,2.16,,2.56,1.40,,1.55,2.14,1.09,1.51,1.22,2.63,1.38
July,5.88,4.17,3.36,,2.96,0.69,5.82,0.89,3.92,2.97,1.47,,1.22,1.90,,5.38,2.26,1.02,0.73,1.14,0.69,1.19
August,1.56,5.39,3.48,,1.25,2.07,2.16,1.45,2.54,4.61,4.11,,2.79,1.65,,3.45,1.78,3.68,2.74,1.01,5.31,1.44
September,7.50,3.39,1.93,,1.57,3.98,1.43,2.92,1.33,1.41,2.37,,0.76,1.49,,1.17,2.92,1.58,0.34,3.22,0.44,0.87
October,2.90,3.55,4.75,,1.75,4.91,3.77,2.72,0.49,3.74,1.71,,4.19,1.22,,3.53,4.47,1.50,2.76,1.79,3.58,1.73
November,2.54,2.90,3.02,,1.80,2.07,3.66,1.32,3.53,1.08,2.85,,0.97,3.31,,2.56,1.66,1.34,3.32,0.71,2.06,3.44
December,4.45,3.25,2.94,,2.24,1.39,3.96,2.90,1.15,2.05,1.13,,1.23,1.75,,1.63,3.63,2.03,1.80,2.46,1.29,3.28
Total,37.53,35.09,36.47,,23.15,28.45,32.95,20.12,23.34,25.76,25.58,,23.41,18.67,,30.53,24.03,21.04,20.41,21.74,24.56,20.70
,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt2/029,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/175,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/108,,,,,,,,,,,,,,,,,,,,,,
