BALLYMENA HARRYVILLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NW256601,Long,-6.276621,Lat,54.860868,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,7.83,5.1,2.51,2.15,1.34,2.49,5.91,5.72,2.55,6.22,2.71,2.69,3.54,4.53,2.28,4.44,3.14,4.67,4.1,1.98,2.14,2.05,3.65,4.16,3.05,2.57,6.48,4.41,3.03,3.9,2.68,3.66,4.53,4.04,2.38,5.4,5.29,3.74,4.39,3.26,3.17,3.67,4.87,5.09,5.45,5.24,4.45,4.11,3.17,4.98,4.04,7.41,1.95,4.7,4.41,4.32,2.58,3.83,2.13,5.26,5.08,5.25,4.47,3.58,1.65,7.25,4.9,3.97,4.47,6.12,3.7,6.19,3.53,2.2,3.57,4.89,1.63,3.82,3.86,3.54,4.74,4.34,2.73,3.61
February,,,3.99,2.12,2.16,2.92,5.03,3,4.32,3.42,4.11,3.14,1.78,1.04,3.73,1.18,0.46,2.28,4.34,4.54,1.45,3.24,2.56,3.56,2.62,3.97,2.14,3.04,3.53,3.43,3.22,3.65,2.93,3.51,2.49,5.66,3.62,3.49,2.23,5.27,5.46,4.62,2.1,5.36,0.66,2.74,1.44,4.78,4.73,1.93,3.72,3.32,1.93,3.99,3.24,0.97,4.57,0.22,3.54,0.58,4.5,2.29,5.72,2.01,3.94,2.51,3.31,2.42,2.46,1.37,3.86,3.1,1.63,2.34,3.04,3.18,2.76,1.26,1.65,4.13,3.83,1.37,2.36,4.35,1.19,3.98
March,,,4.11,2.18,2.6,2.43,4.21,3.17,1.79,4.51,2.73,3.37,1.56,3.04,2.51,2.81,2.97,1.11,1.53,2.05,3.75,4.15,4.53,2.1,2.48,1.36,3.31,2.49,4.83,2.29,4.56,2.7,4.3,4.79,4.08,2.89,1.92,4.43,4.89,5.39,1.45,1.83,2.94,1.35,4.7,3.75,3.7,2.27,2.31,1.09,2.59,2.22,2.97,4.22,0.51,2.72,1.93,2.61,2.64,2.7,1.4,2.67,3.65,3.3,4.74,5.12,3.36,2.83,1.03,1.16,1.74,1.7,4.38,2.28,2.63,1.86,2.2,2.08,0.54,2.89,0.75,1.5,3.07,1.57,2.5,2.09
April,,,3.37,2.55,2.56,4.3,1.81,2.7,1.63,1.23,2.54,1.7,1.87,1.95,2.82,1.75,2.47,1.24,1.24,2.25,1.65,1.75,2.58,5.45,4.29,3.82,3.84,2.13,2.01,2.6,2.46,3.13,2.64,3.71,4.64,2.97,2.52,2.28,4.87,2.38,3.37,4.85,4.88,1.89,2.32,2.77,1.47,4,3.37,2.48,4.26,2.05,2.54,2.31,1.68,2.21,2.99,4.44,1.8,3.37,3.48,1.1,2.49,0.51,2.33,4.1,1.92,2.93,3.3,2.51,1.71,0.95,3.98,1.54,2.56,4.9,1.56,1.61,2.32,0.61,2.42,1.4,1.6,1.7,2.78,2.59
May,,,2.94,5.72,4.42,1.42,3.16,2.96,3.08,3.15,2.88,3.4,2.42,3.26,3.31,2.03,3.39,3.94,1.22,2.38,0.59,0.82,2.55,3.79,3.82,3.86,2.05,3.68,2.81,2.72,1.99,4.42,4.36,2.12,2.4,3.28,3.51,2.1,4.56,2.98,1.03,6.43,4.47,2.17,2.19,3.88,3.52,1.86,2.67,6.15,5.3,3.48,1.95,1.38,3.38,1.94,5.34,2.18,2.46,4.11,1.65,1.91,2.19,4.54,1.56,1.83,2.3,3.89,4.37,2,4.89,0.82,3.34,1.28,2.31,1.92,1.45,1.5,1.73,4.36,2.78,1.26,1.55,2.57,1.37,1.76
June,,,3.78,2.4,4.99,2.5,4.3,4.81,1.8,0.84,0.77,1.65,1.2,3.48,0.69,4.54,1.3,3.25,3.68,2.96,3.21,4.55,5.47,2.99,1.72,3.92,3.8,2.37,1.55,1.39,2.65,1.03,6.06,3.44,2.4,3.45,1.86,6.75,3.56,1.88,2.46,2.3,2.5,2.14,3.15,2.37,0.67,2.44,1.9,4.08,1.23,2.5,4.42,5.57,3.05,2.42,4.46,2.32,2.85,2.43,4.2,2.43,2.8,5.11,2.29,2.12,0.47,0.72,3.42,2.21,4.25,4.11,4.17,4.26,1.45,2.7,3.29,2.97,2.93,3.5,3.95,3.47,3.43,3.54,1.61,2.14
July,,,4.42,1.72,5.9,4.66,3.09,6.99,2.51,3.12,1.91,3.34,3.29,4.64,3.08,2.74,3.04,3.18,2.67,5.13,4.4,5.9,2.24,0.62,4,3.21,1.09,3.36,4.2,3.51,2.39,2.95,4.05,3.94,4.48,4.04,2.94,4.61,1.58,2.77,4.99,2.43,3.6,4.16,1.05,4.95,4.63,3.86,3.61,5.76,4.49,4.94,3.55,3.2,2.75,4.11,4.19,4.18,2.53,2.35,1.8,7.05,4.99,4.62,5.44,4,4.03,6.14,1.8,3.7,4.65,3.74,4.18,3.33,2.15,8.93,3.55,2.04,4.18,3.99,1.16,4.47,4.53,4.75,3.3,5.92
August,,,4.21,4.23,4.39,1.85,3.76,3.24,5.78,2.87,1.88,1.99,2.57,4.11,6.54,3.33,6.1,6.11,5.09,4.4,4.45,3.01,6.25,3.82,1.63,4.44,4.56,4.38,5.36,6.58,5.78,5.31,4.18,3.58,3.07,5.78,3.24,7.05,1.24,5.31,2.61,2.88,5.08,4.69,3.67,2.86,4.02,3.8,6.21,6.45,2.17,4.44,3.08,5.57,6.56,7.69,3.13,2.17,2.78,5.42,1.86,3.04,4.14,3.18,2.83,1.59,6.6,6.46,5.57,3.84,1.93,6.42,0.26,3.31,2.93,6.37,4.94,7.04,4.3,2.38,0.97,6.53,3.44,4.45,0.77,4.31
September,,,2.56,3.7,4.89,3.78,3.45,4,5.06,3.77,5.83,2.88,4.06,1.87,3.41,3.75,3.13,3.77,2.87,0.32,0.6,4.71,2.43,4.43,4.42,2.76,3.77,4.72,3.79,3.92,2.09,1.83,1.59,4.62,2.66,1.73,1.69,2.47,3.54,2.13,1.02,1.62,2.36,7.17,3.44,4.11,1.53,3.28,5.07,5.64,4.63,3.5,5.48,3.21,1.37,3.07,2.3,3.78,0.61,6.17,5.66,4.93,2.38,3.75,3.92,4.2,1.38,5.1,3.27,5.82,2.77,5.95,3.77,4.51,2.48,8.69,2.42,2.9,3.6,4.63,4.69,2.55,5.52,3.9,1.7,2.67
October,,,4.99,4.7,1.95,1.72,4.27,2.87,3.54,3.98,4,4.17,2.02,2.84,4.4,2.85,4.71,5.39,4.06,3.77,5.67,2.8,2.58,3.06,2.36,5.46,5.07,2.38,6.41,1.89,2.58,5.29,4.43,1.94,4.97,2.86,3.28,3.43,4.71,1.92,3.25,6.35,6.27,4.24,3.41,5.79,3.49,1.77,5.31,2.99,3.57,5.1,4.11,5.89,6.75,6.9,3.02,4.81,4.29,5.53,7,3.94,2.99,7.34,2.54,5.42,5.95,4.75,4.33,5.01,3.65,1.07,1.86,4.74,5.36,3.51,1.34,4.1,2.53,7.76,3.54,3.63,4.12,2.24,5.16,3.76
