"PEMBRIDGE (MOOR COURT)",,,,,,,,,,,,
Grid ref,SO359561,Long,-2.939288,Lat,52.199388,,,,,,,
Station no,2239,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.91,2.82,0.64,2.28,3.67,3.51,1.98,2.82,,,,
February,2.79,0.61,1.42,2.96,1.68,0.49,3.01,5.02,,,,
March,4.64,2.03,1.40,2.65,2.63,0.91,2.68,2.07,,,,
April,1.99,1.95,3.29,0.38,0.93,1.77,0.82,0.56,,,,
May,3.19,2.66,2.01,2.21,4.47,0.38,2.07,3.14,,,,
June,0.91,1.77,1.39,4.79,5.11,2.37,1.52,3.09,,,,
July,1.91,0.81,3.00,1.43,0.97,3.79,3.13,5.77,,,,
August,3.02,5.00,3.33,3.65,0.53,3.70,4.31,2.99,,,,
September,2.08,2.27,3.29,3.00,1.21,3.36,5.85,5.68,,,,
October,0.79,4.16,2.26,3.24,1.72,1.82,1.45,2.78,,,,
November,7.22,3.16,2.11,7.29,2.92,1.00,2.32,2.83,,,,
December,2.29,2.86,1.47,2.97,4.09,3.68,2.40,3.50,,,,
Total,33.74,30.10,25.61,36.85,29.93,26.78,31.54,40.25,,,,
Calc annual,33.74,30.10,25.61,36.85,29.93,26.78,31.54,40.25,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
