TONBRIDGE-BROOKLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ584456,Long,0.26522276,Lat,51.187681,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,4.29,1.3,1.62,1,2.86,1.28,2.68,4.52,0.79,3.35,1.2,1.52,3.02,4.64,3.32,2.52,3.45,1.49,,,,,,,
February,,,,,,,2.12,1.39,1.18,0.52,4.08,1.39,2,0.92,3.95,4.25,4.37,0.82,0.99,1.84,0.52,0.85,2.31,3.98,,,,,,,
March,,,,,,,1.67,1.01,2.51,3.87,1.61,2.56,4.58,2.81,5.75,0.76,3.53,1.62,0.91,3.58,1.03,1.7,2.24,1.98,,,,,,,
April,,,,,,,1.29,2.67,2.16,1.58,1.89,2.48,0.08,3.11,1.49,1.22,1.56,2.52,3.27,3.33,2.98,1.54,3.04,2.31,,,,,,,
May,,,,,,,1.69,1.96,1.39,1.62,2.74,1.12,1.06,1.73,0.74,4.1,2.34,2.48,1.34,0.12,1.19,1.25,1.59,3.08,,,,,,,
June,,,,,,,2.52,2.32,2.63,2.46,1.65,2.19,2.82,0.61,0.8,0.46,2.65,2.52,0.69,1.18,1.44,0.06,1.4,0.65,,,,,,,
July,,,,,,,0.56,1.4,3.18,2.72,2.14,0.45,1.13,2.5,1.44,3.22,1.02,4.98,4.45,2.06,3.72,0.58,3.07,1.48,,,,,,,
August,,,,,,,0.94,2.5,4.88,2.3,2.35,0.56,6.16,1.71,0.86,3.09,2.36,5.61,1.03,2.8,1.5,1.95,3.22,,,,,,,,
September,,,,,,,1.34,0.44,1.54,2.88,0.44,1.65,2.95,1.67,0.84,2.44,1.13,1.25,5.35,1.41,4.33,0.82,2.55,,,,,,,,
October,,,,,,,4.17,4.65,1.74,5.41,2.54,4.75,3.34,5,1.78,2.03,4.18,3.92,1.82,0.81,1.28,1,1.57,,,,,,,,
November,,,,,,,5.37,2,0.96,0.92,3.74,5.55,2.21,3.37,3.78,3.05,4.83,1.78,2.44,3,1.25,1.7,1.83,,,,,,,,
December,,,,,,0.61,2.1,2.68,2.73,3.72,3.68,6.06,3.17,1.27,7.71,6.92,3.33,2.33,2.15,4.02,2.37,1.8,4,,,,,,,,
Total,,,,,,,28.06,24.32,26.52,29,29.72,30.04,32.18,29.22,29.93,34.89,32.5,31.35,27.46,28.79,24.93,15.77,30.27,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905 Nov Gauge move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923 Aug Gauge move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
