TONBRIDGE-BROOKLANDS (THE DRIVE),,,,,,,,,,,
Grid ref,TQ589453,Long,0.27223882,Lat,51.184847,Elevation,165,ft,,,
Station no,RR6367,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,2.39,2.72,3.13,2.6,3.66,1.14,3.77
February,,,,,0.93,4.39,2.37,4.5,1.8,0.52,1.49
March,,,,,1.76,1.25,0.49,4,1.97,0.02,1.02
April,,,,,2.94,2.55,4.14,1.57,2.12,0.89,1.47
May,,,,,4.07,2.68,1.63,1.52,2.01,1.84,3.12
June,,,,,2.1,0.22,3.46,3.91,2.39,1.12,1.05
July,,,,,3.46,4.39,2,3.99,1.61,1.05,1.9
August,,,,,3.09,1.63,1.14,5.02,3.41,2.88,2.6
September,,,,2.02,2.98,2.44,0.75,4.52,0.49,0.35,3.21
October,,,,7.1,3.92,3.94,2.29,1.73,5.87,3.74,1.56
November,,,,2.55,3.9,3.19,7,2.91,3.88,7.78,5.68
December,,,,3.01,4.21,3.74,0.63,4.45,3.66,6.91,2.55
Total,,,,,35.75,33.14,29.03,40.72,32.87,28.24,29.42
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1923 Aug Gauge move,,,,,,,,,,,
