TUNBRIDGE PRIMROSE HILL & BROOKLANDS,,,,,,,,,,,,
Grid ref,TQ596410,Long,0.280340,Lat,51.146017,,,,,,,
Station no,RR6367,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.52,1.07,1.05,2.41,4.44,1.27,4.29,1.30,1.62,1.00,,
February,6.12,1.81,1.22,1.55,3.52,0.95,2.12,1.39,1.18,0.52,,
March,1.10,1.93,1.61,2.52,1.72,3.71,1.67,1.01,2.51,3.87,,
April,1.01,1.86,0.64,2.15,0.99,2.69,1.29,2.67,2.16,1.58,,
May,1.20,0.73,2.61,1.60,2.38,1.82,1.69,1.96,1.39,1.62,,
June,2.81,1.39,2.52,5.11,1.04,4.22,2.52,2.32,2.63,2.46,,
July,1.41,1.36,2.27,7.66,0.86,1.10,0.56,1.40,3.18,2.72,,
August,2.20,1.86,3.60,3.06,1.43,2.23,0.94,2.50,4.88,2.30,,
September,1.04,1.18,1.13,2.23,1.43,1.70,1.34,0.44,1.54,2.88,,
October,2.31,2.87,2.08,6.05,1.96,1.58,4.17,4.65,1.74,5.41,,
November,3.00,0.74,2.06,2.23,1.48,4.46,5.37,2.00,0.96,0.92,,
December,3.26,4.57,1.79,2.34,3.58,0.61,2.10,2.68,2.73,3.72,,
Total,28.98,21.37,22.58,38.91,24.83,26.34,28.06,24.32,26.52,29.00,,
Calc annual,28.98,21.37,22.58,38.91,24.83,26.34,28.06,24.32,26.52,29.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
