YARBOROUGH RECTORY,,,,,,,,
Grid ref,TF343936,Long,0.020,Lat,53.422,Elevation,42,ft
Station no,RR4718,,,,,,,
,,,,,,,,
,1896,1897,1898,1899,1900,1901,1902,1903
January,,2.40,1.10,1.99,2.80,0.76,0.83,1.84
February,,3.13,1.58,1.42,2.57,1.47,1.00,0.47
March,,2.49,1.39,1.59,0.34,1.37,1.22,2.34
April,,1.12,2.43,2.18,0.95,1.12,1.62,2.04
May,,1.24,1.93,3.08,1.58,0.92,2.81,2.62
June,,1.40,1.49,1.72,1.77,2.09,2.74,1.21
July,,0.53,0.57,0.72,1.16,2.48,1.22,2.42
August,,4.11,2.83,0.15,3.02,1.59,2.81,6.31
September,4.71,2.73,0.14,2.50,1.13,0.73,0.64,3.18
October,5.88,0.64,3.28,3.20,2.09,1.75,2.68,5.08
November,1.43,2.03,2.34,1.02,1.98,2.44,1.12,1.44
December,3.51,1.52,2.26,2.23,3.45,3.98,1.41,1.05
Total,,23.34,21.34,21.80,22.84,20.70,20.10,30.00
,,,,,,,,
TYRain_1890-1899_13_pt1/195,,,,,,,,
TYRain_1900-1909_17_pt1/155,,,,,,,,
