"YARBOROUGH THE RECTORY",,,,,,,,,,,,
Grid ref,TF342936,Long,0.018037,Lat,53.422130,,,,,,,
Station no,RR4718,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.80,0.76,0.83,1.84,,,,,,,,
February,2.57,1.47,1.00,0.47,,,,,,,,
March,0.34,1.37,1.22,2.34,,,,,,,,
April,0.95,1.12,1.62,2.04,,,,,,,,
May,1.58,0.92,2.81,2.62,,,,,,,,
June,1.77,2.09,2.74,1.21,,,,,,,,
July,1.16,2.48,1.22,2.42,,,,,,,,
August,3.02,1.59,2.81,6.31,,,,,,,,
September,1.13,0.73,0.64,3.18,,,,,,,,
October,2.09,1.75,2.68,5.08,,,,,,,,
November,1.98,2.44,1.12,1.44,,,,,,,,
December,3.45,3.98,1.41,1.05,,,,,,,,
Total,22.84,20.70,20.10,30.00,,,,,,,,
Calc annual,22.84,20.70,20.10,30.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
