"REDEWATER CATCLEUGH",,,,,,,,,,,,
Grid ref,NT749033,Long,-2.397103,Lat,55.323120,,,,,,,
Station no,3581,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.93,2.15,2.04,5.89,3.23,1.08,4.49,1.77,3.41,3.42,,
February,3.55,1.55,2.10,3.94,3.33,1.84,2.44,2.31,1.88,2.84,,
March,1.30,3.55,1.55,4.82,2.72,5.00,3.36,2.79,6.61,5.16,,
April,2.80,2.45,2.23,1.13,2.96,3.99,1.20,3.25,2.79,4.40,,
May,2.40,2.30,3.39,1.73,3.40,1.86,5.95,5.36,3.22,2.17,,
June,5.02,1.95,2.16,1.10,1.25,2.02,4.88,5.48,1.64,2.45,,
July,2.31,1.52,3.71,4.41,1.53,1.14,2.25,2.44,4.12,2.83,,
August,5.38,3.50,2.18,3.88,2.72,4.24,6.08,3.29,2.71,2.57,,
September,2.10,1.77,1.88,3.37,1.26,3.39,0.92,1.07,4.78,2.75,,
October,5.15,2.11,2.65,9.41,0.92,3.54,7.05,6.36,3.95,6.04,,
November,5.13,5.60,2.25,2.42,2.50,5.66,4.09,2.91,2.73,1.57,,
December,6.45,3.23,5.05,3.19,2.92,2.16,2.77,5.66,1.81,5.29,,
Total,46.52,31.68,31.19,45.29,28.74,35.92,45.48,42.69,39.65,41.49,,
Calc annual,46.52,31.68,31.19,45.29,28.74,35.92,45.48,42.69,39.65,41.49,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
