"BOGHALL",,,,,,,,,,,,
Grid ref,NT246651,Long,-3.206583,Lat,55.873141,,,,,,,
Station no,5129,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.90,3.30,0.71,3.59,,,,,,,,
February,2.43,0.58,1.08,2.07,,,,,,,,
March,3.36,1.34,0.56,1.78,,,,,,,,
April,4.27,1.53,3.00,1.37,,,,,,,,
May,3.32,1.68,2.23,5.11,,,,,,,,
June,1.84,2.82,1.86,2.65,,,,,,,,
July,3.91,2.16,4.04,,,,,,,,,
August,5.63,3.93,1.74,,,,,,,,,
September,1.30,2.67,3.01,,,,,,,,,
October,0.81,1.76,1.51,,,,,,,,,
November,5.16,2.89,4.26,,,,,,,,,
December,3.20,3.80,3.87,,,,,,,,,
Total,39.13,28.46,27.87,,,,,,,,,
Calc annual,39.13,28.46,27.87,16.57,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
